candle,equity
2023-01-24T00:00:00+00:00,10000.0
2023-01-24T08:00:00+00:00,9788.05
2023-01-25T00:00:00+00:00,9576.1
2023-01-26T20:00:00+00:00,9670.6
2023-01-27T16:00:00+00:00,9818.24
2023-01-28T08:00:00+00:00,9606.29
2023-01-29T00:00:00+00:00,9735.71
2023-01-29T08:00:00+00:00,9878.95
2023-01-29T16:00:00+00:00,10165.67
2023-01-30T00:00:00+00:00,9953.72
2023-01-30T08:00:00+00:00,9741.77
2023-01-30T20:00:00+00:00,9529.82
2023-01-31T12:00:00+00:00,9624.32
2023-02-01T16:00:00+00:00,9412.37
2023-02-02T00:00:00+00:00,9703.39
2023-02-02T12:00:00+00:00,9491.44
2023-02-02T20:00:00+00:00,9279.49
2023-02-03T12:00:00+00:00,9373.99
2023-02-03T20:00:00+00:00,9162.04
2023-02-04T12:00:00+00:00,9256.54
2023-02-05T12:00:00+00:00,9044.59
2023-02-05T20:00:00+00:00,9139.76
2023-02-06T04:00:00+00:00,9234.26
2023-02-06T20:00:00+00:00,9328.76
2023-02-07T16:00:00+00:00,9116.81
2023-02-08T00:00:00+00:00,9211.69
2023-02-08T12:00:00+00:00,8999.74
2023-02-09T00:00:00+00:00,9217.9
2023-02-09T12:00:00+00:00,9005.95
2023-02-09T20:00:00+00:00,9531.74
2023-02-10T04:00:00+00:00,9626.24
2023-02-10T12:00:00+00:00,9787.44
2023-02-10T20:00:00+00:00,9881.94
2023-02-11T20:00:00+00:00,9708.48
2023-02-12T20:00:00+00:00,9802.98
2023-02-13T08:00:00+00:00,9911.69
2023-02-13T16:00:00+00:00,10006.19
2023-02-14T12:00:00+00:00,9794.24
2023-02-15T08:00:00+00:00,9582.29
2023-02-15T16:00:00+00:00,9370.34
2023-02-16T00:00:00+00:00,9158.39
2023-02-16T16:00:00+00:00,9328.86
2023-02-19T20:00:00+00:00,9116.91
2023-02-21T04:00:00+00:00,9211.41
2023-02-21T12:00:00+00:00,8999.46
2023-02-26T16:00:00+00:00,8787.51
2023-02-27T12:00:00+00:00,8575.56
2023-02-28T16:00:00+00:00,8363.61
2023-03-01T00:00:00+00:00,8458.11
2023-03-01T16:00:00+00:00,8678.1
2023-03-02T00:00:00+00:00,8466.15
2023-03-02T12:00:00+00:00,8560.65
2023-03-03T00:00:00+00:00,9219.31
2023-03-04T20:00:00+00:00,9313.81
2023-03-05T20:00:00+00:00,9245.6
2023-03-06T20:00:00+00:00,9248.52
2023-03-07T12:00:00+00:00,9343.02
2023-03-07T20:00:00+00:00,9437.52
2023-03-08T04:00:00+00:00,9577.57
2023-03-08T20:00:00+00:00,9747.79
2023-03-09T08:00:00+00:00,9842.29
2023-03-09T16:00:00+00:00,10397.21
2023-03-10T00:00:00+00:00,10963.39
2023-04-01T00:00:00+00:00,11057.89
2023-04-02T00:00:00+00:00,11009.61
2023-04-02T12:00:00+00:00,10797.66
2023-04-03T00:00:00+00:00,10585.71
2023-04-03T12:00:00+00:00,10680.21
2023-04-03T20:00:00+00:00,10468.26
2023-04-04T12:00:00+00:00,10562.76
2023-04-05T00:00:00+00:00,10745.11
2023-04-05T12:00:00+00:00,10533.16
2023-04-06T04:00:00+00:00,10658.19
2023-04-07T04:00:00+00:00,10686.41
2023-04-08T04:00:00+00:00,10538.65
2023-04-08T16:00:00+00:00,10633.15
2023-04-09T16:00:00+00:00,10421.2
2023-04-10T12:00:00+00:00,10209.25
2023-04-11T00:00:00+00:00,10681.17
2023-04-11T16:00:00+00:00,10775.67
2023-04-12T00:00:00+00:00,10870.17
2023-04-12T12:00:00+00:00,10964.67
2023-04-13T00:00:00+00:00,11059.17
2023-04-13T08:00:00+00:00,11153.67
2023-04-13T16:00:00+00:00,11248.17
2023-04-14T00:00:00+00:00,11414.99
2023-04-14T12:00:00+00:00,11203.04
2023-04-14T20:00:00+00:00,11303.39
2023-04-15T20:00:00+00:00,11206.32
2023-04-16T16:00:00+00:00,11300.82
2023-04-17T00:00:00+00:00,11088.87
2023-04-17T08:00:00+00:00,10876.92
2023-04-18T00:00:00+00:00,10664.97
2023-04-18T08:00:00+00:00,11131.03
2023-04-18T16:00:00+00:00,10919.08
2023-04-19T08:00:00+00:00,10707.13
2023-04-20T08:00:00+00:00,10824.33
2023-04-20T16:00:00+00:00,11080.01
2023-04-22T16:00:00+00:00,10868.06
2023-04-23T00:00:00+00:00,10962.56
2023-04-23T12:00:00+00:00,11057.06
2023-04-24T00:00:00+00:00,10845.11
2023-04-24T08:00:00+00:00,10962.7
2023-04-24T16:00:00+00:00,11057.2
2023-04-25T04:00:00+00:00,11178.96
2023-04-25T16:00:00+00:00,10967.01
2023-04-26T16:00:00+00:00,10755.06
2023-04-30T20:00:00+00:00,10543.11
2023-05-02T16:00:00+00:00,10331.16
2023-05-03T16:00:00+00:00,10438.12
2023-05-04T12:00:00+00:00,10532.62
2023-05-07T20:00:00+00:00,10738.25
2023-05-08T04:00:00+00:00,10969.89
2023-05-08T12:00:00+00:00,11064.39
2023-05-08T20:00:00+00:00,11167.71
2023-05-09T12:00:00+00:00,11298.66
2023-05-09T20:00:00+00:00,11086.71
2023-05-10T12:00:00+00:00,10874.76
2023-05-14T00:00:00+00:00,10969.26
2023-05-15T00:00:00+00:00,10757.31
2023-05-16T12:00:00+00:00,10851.81
2023-05-17T04:00:00+00:00,10948.59
2023-05-17T12:00:00+00:00,11043.09
2023-05-17T20:00:00+00:00,10831.14
2023-05-18T04:00:00+00:00,10925.64
2023-05-18T12:00:00+00:00,11077.97
2023-05-18T20:00:00+00:00,11213.28
2023-05-19T12:00:00+00:00,11001.33
2023-05-20T12:00:00+00:00,10952.43
2023-05-21T12:00:00+00:00,10968.83
2023-05-21T20:00:00+00:00,11063.33
2023-05-22T12:00:00+00:00,10851.38
2023-05-23T00:00:00+00:00,10639.43
2023-05-24T00:00:00+00:00,10427.48
2023-05-24T12:00:00+00:00,10674.97
2023-05-25T00:00:00+00:00,10769.47
2023-05-25T16:00:00+00:00,10557.52
