entry_time,exit_time,side,entry_price,exit_price,initial_sl,final_sl,tp,pnl_usd,equity,exit_type,gate,fgi,regime,bcd_conf,breakeven_locked,holding_candles,notional,leverage,actual_move_pct
2024-01-01T00:00:00+00:00,2024-01-01T08:00:00+00:00,SHORT,42369.8,42727.6,42934.59,42934.59,42068.97,-138.67,9861.33,TIME_EXIT,ACTIVE,65.0,bear,1.0,False,1,15000.0,15.0,-0.8445
2024-01-01T08:00:00+00:00,2024-01-01T16:00:00+00:00,SHORT,42727.6,43297.16,43297.16,43297.16,42424.23,-211.95,9649.38,SL,ACTIVE,65.0,bear,1.0,False,2,15000.0,15.0,-1.333
2024-01-01T16:00:00+00:00,2024-01-02T00:00:00+00:00,SHORT,43556.2,44136.8,44136.8,44136.8,43246.95,-211.95,9437.43,SL,ACTIVE,65.0,neutral,1.0,False,2,15000.0,15.0,-1.333
2024-01-02T00:00:00+00:00,2024-01-02T08:00:00+00:00,LONG,45435.0,45757.59,44829.35,44829.35,45757.59,94.5,9531.93,TP,ACTIVE,71.0,bull,1.0,False,2,15000.0,15.0,0.71
2024-01-02T08:00:00+00:00,2024-01-02T16:00:00+00:00,LONG,45486.8,44880.46,44880.46,44880.46,45809.76,-211.95,9319.98,SL,ACTIVE,71.0,bull,1.0,False,2,15000.0,15.0,-1.333
2024-01-02T16:00:00+00:00,2024-01-03T00:00:00+00:00,LONG,45073.2,45393.22,44472.37,44472.37,45393.22,94.5,9414.48,TP,ACTIVE,71.0,bull,1.0,False,2,15000.0,15.0,0.71
2024-01-03T00:00:00+00:00,2024-01-03T08:00:00+00:00,LONG,45297.8,44693.98,44693.98,44693.98,45619.41,-211.95,9202.53,SL,ACTIVE,70.0,bull,1.0,False,2,15000.0,15.0,-1.333
2024-01-03T08:00:00+00:00,2024-01-03T16:00:00+00:00,SHORT,43728.9,42600.4,44311.81,44311.81,43418.42,375.1,9577.63,TRAIL_TP,ADVISORY,70.0,neutral,1.0,False,2,15000.0,15.0,2.5807
2024-01-04T16:00:00+00:00,2024-01-05T00:00:00+00:00,LONG,43950.0,43364.15,43364.15,43364.15,44262.05,-211.95,9365.68,SL,ADVISORY,68.0,bull,1.0,False,2,15000.0,15.0,-1.333
2024-01-07T16:00:00+00:00,2024-01-08T00:00:00+00:00,LONG,44238.8,43649.1,43649.1,43649.1,44552.9,-211.95,9153.73,SL,ACTIVE,71.0,bull,1.0,False,2,15000.0,15.0,-1.333
2024-01-08T08:00:00+00:00,2024-01-08T16:00:00+00:00,LONG,44637.2,47006.7,44042.19,44042.19,44954.12,784.25,9937.98,TRAIL_TP,ADVISORY,71.0,bull,1.0,False,2,15000.0,15.0,5.3084
2024-01-08T16:00:00+00:00,2024-01-09T00:00:00+00:00,LONG,47006.7,46380.1,46380.1,46380.1,47340.45,-211.95,9726.03,SL,ADVISORY,71.0,bull,1.0,False,2,15000.0,15.0,-1.333
2024-01-09T00:00:00+00:00,2024-01-09T08:00:00+00:00,LONG,46932.8,46624.4,46307.19,46307.19,47266.02,-110.57,9615.46,TIME_EXIT,ADVISORY,76.0,bull,1.0,False,1,15000.0,15.0,-0.6571
2024-01-09T08:00:00+00:00,2024-01-09T16:00:00+00:00,LONG,46624.4,46955.43,46002.9,46002.9,46955.43,94.5,9709.96,TP,ADVISORY,76.0,bull,1.0,False,2,15000.0,15.0,0.71
2024-01-09T16:00:00+00:00,2024-01-10T00:00:00+00:00,LONG,46873.5,46248.68,46248.68,46248.68,47206.3,-211.95,9498.01,SL,ADVISORY,76.0,bull,1.0,False,2,15000.0,15.0,-1.333
2024-01-14T16:00:00+00:00,2024-01-15T00:00:00+00:00,SHORT,42665.8,42362.87,43234.54,43234.54,42362.87,94.5,9592.51,TP,ADVISORY,60.0,bear,1.0,False,2,15000.0,15.0,0.71
2024-01-15T00:00:00+00:00,2024-01-15T08:00:00+00:00,SHORT,42571.8,42699.9,43139.28,43139.28,42269.54,-57.14,9535.37,TIME_EXIT,ADVISORY,52.0,bear,1.0,False,1,15000.0,15.0,-0.3009
2024-01-15T08:00:00+00:00,2024-01-15T16:00:00+00:00,SHORT,42699.9,43269.09,43269.09,43269.09,42396.73,-211.95,9323.42,SL,ADVISORY,52.0,bear,1.0,False,2,15000.0,15.0,-1.333
2024-01-15T16:00:00+00:00,2024-01-16T00:00:00+00:00,SHORT,42989.6,42684.37,43562.65,43562.65,42684.37,94.5,9417.92,TP,ADVISORY,52.0,bear,1.0,False,2,15000.0,15.0,0.71
2024-01-16T00:00:00+00:00,2024-01-16T12:00:00+00:00,SHORT,42919.5,42919.5,43491.62,42919.5,42614.77,-12.0,9405.92,BREAKEVEN_SL,ADVISORY,64.0,bear,1.0,True,3,15000.0,15.0,0.0
2024-01-17T00:00:00+00:00,2024-01-17T12:00:00+00:00,SHORT,42842.1,42842.1,43413.19,42842.1,42537.92,-12.0,9393.92,BREAKEVEN_SL,ADVISORY,60.0,bear,1.0,True,3,15000.0,15.0,0.0
2024-01-17T12:00:00+00:00,2024-01-17T20:00:00+00:00,SHORT,42478.3,42783.4,43044.54,43044.54,42176.7,-119.74,9274.18,TIME_EXIT,ADVISORY,60.0,bear,1.0,False,1,15000.0,15.0,-0.7182
2024-01-17T20:00:00+00:00,2024-01-18T04:00:00+00:00,SHORT,42783.4,42918.3,43353.7,43353.7,42479.64,-59.3,9214.88,TIME_EXIT,ACTIVE,60.0,bear,1.0,False,1,15000.0,15.0,-0.3153
2024-01-18T04:00:00+00:00,2024-01-18T12:00:00+00:00,SHORT,42918.3,42613.58,43490.4,43490.4,42613.58,94.5,9309.38,TP,ACTIVE,63.0,bear,1.0,False,2,15000.0,15.0,0.71
2024-01-18T12:00:00+00:00,2024-01-18T20:00:00+00:00,SHORT,42618.9,41323.1,43187.01,43187.01,42316.31,444.07,9753.45,TRAIL_TP,ACTIVE,63.0,bear,1.0,False,2,15000.0,15.0,3.0404
2024-01-18T20:00:00+00:00,2024-01-19T08:00:00+00:00,SHORT,41323.1,41323.1,41873.94,41323.1,41029.71,-12.0,9741.45,BREAKEVEN_SL,ADVISORY,63.0,bear,1.0,True,3,15000.0,15.0,0.0
2024-01-19T08:00:00+00:00,2024-01-19T16:00:00+00:00,SHORT,41471.7,41177.25,42024.52,42024.52,41177.25,94.5,9835.95,TP,ADVISORY,51.0,bear,1.0,False,2,15000.0,15.0,0.71
2024-01-19T16:00:00+00:00,2024-01-20T00:00:00+00:00,SHORT,41818.5,41521.59,42375.94,42375.94,41521.59,94.5,9930.45,TP,ADVISORY,51.0,bear,1.0,False,2,15000.0,15.0,0.71
2024-01-20T00:00:00+00:00,2024-01-20T12:00:00+00:00,SHORT,41638.0,41638.0,42193.03,41638.0,41342.37,-12.0,9918.45,BREAKEVEN_SL,ADVISORY,52.0,bear,1.0,True,3,15000.0,15.0,0.0
2024-01-20T12:00:00+00:00,2024-01-20T20:00:00+00:00,SHORT,41570.3,41691.8,42124.43,42124.43,41275.15,-55.84,9862.61,TIME_EXIT,ACTIVE,52.0,bear,1.0,False,1,15000.0,15.0,-0.2923
2024-01-20T20:00:00+00:00,2024-01-21T08:00:00+00:00,SHORT,41691.8,41691.8,42247.55,41691.8,41395.79,-12.0,9850.61,BREAKEVEN_SL,ACTIVE,52.0,bear,1.0,True,3,15000.0,15.0,0.0
2024-01-21T08:00:00+00:00,2024-01-21T16:00:00+00:00,SHORT,41720.9,41721.2,42277.04,42277.04,41424.68,-12.11,9838.5,TIME_EXIT,ACTIVE,56.0,bear,1.0,False,1,15000.0,15.0,-0.0007
2024-01-21T16:00:00+00:00,2024-01-22T00:00:00+00:00,SHORT,41721.2,41199.6,42277.34,42277.34,41424.98,175.53,10014.03,TRAIL_TP,ACTIVE,56.0,bear,1.0,False,2,15000.0,15.0,1.2502
2024-01-22T00:00:00+00:00,2024-01-22T08:00:00+00:00,SHORT,41199.6,40809.4,41748.79,41748.79,40907.08,130.06,10144.09,TRAIL_TP,ACTIVE,55.0,bear,1.0,False,2,15000.0,15.0,0.9471
2024-01-22T08:00:00+00:00,2024-01-22T16:00:00+00:00,SHORT,40809.4,39812.5,41353.39,41353.39,40519.65,354.42,10498.51,TRAIL_TP,ACTIVE,55.0,bear,1.0,False,2,15000.0,15.0,2.4428
2024-01-22T16:00:00+00:00,2024-01-23T00:00:00+00:00,SHORT,39812.5,39529.83,40343.2,40343.2,39529.83,94.5,10593.01,TP,ACTIVE,55.0,bear,1.0,False,2,15000.0,15.0,0.71
2024-01-23T00:00:00+00:00,2024-01-23T08:00:00+00:00,SHORT,40000.1,38850.1,40533.3,40533.3,39716.1,419.25,11012.26,TRAIL_TP,ACTIVE,50.0,bear,1.0,False,2,15000.0,15.0,2.875
