candle,equity
2024-01-01T00:00:00+00:00,10000.0
2024-01-01T16:00:00+00:00,9788.05
2024-01-02T00:00:00+00:00,9576.1
2024-01-02T08:00:00+00:00,9670.6
2024-01-02T16:00:00+00:00,9458.65
2024-01-03T00:00:00+00:00,9553.15
2024-01-03T08:00:00+00:00,9341.2
2024-01-05T04:00:00+00:00,9129.25
2024-01-08T00:00:00+00:00,8917.3
2024-01-08T16:00:00+00:00,9701.55
2024-01-15T00:00:00+00:00,9796.05
2024-01-15T12:00:00+00:00,9890.55
2024-01-15T20:00:00+00:00,9678.6
2024-01-16T08:00:00+00:00,9466.65
2024-01-16T20:00:00+00:00,9254.7
2024-01-17T12:00:00+00:00,9370.07
2024-01-18T12:00:00+00:00,9308.42
2024-01-18T20:00:00+00:00,9752.49
2024-01-19T12:00:00+00:00,9895.16
2024-01-19T20:00:00+00:00,9683.21
2024-01-20T20:00:00+00:00,9660.55
2024-01-21T20:00:00+00:00,9688.77
2024-01-22T04:00:00+00:00,9870.64
2024-01-22T12:00:00+00:00,9965.14
2024-01-22T20:00:00+00:00,10397.42
2024-01-23T04:00:00+00:00,10185.47
2024-01-23T12:00:00+00:00,10390.89
2024-01-23T20:00:00+00:00,10178.94
2024-01-24T04:00:00+00:00,10273.44
2024-01-24T16:00:00+00:00,10367.94
2024-01-25T16:00:00+00:00,10286.02
2024-01-26T08:00:00+00:00,10074.07
2024-01-26T16:00:00+00:00,9862.12
2024-01-27T08:00:00+00:00,9956.62
2024-01-27T20:00:00+00:00,10073.08
2024-01-28T04:00:00+00:00,10167.58
2024-01-28T16:00:00+00:00,9955.63
2024-01-29T00:00:00+00:00,10136.04
2024-01-29T12:00:00+00:00,10236.36
2024-01-29T20:00:00+00:00,10458.21
2024-01-30T12:00:00+00:00,10552.71
2024-01-30T20:00:00+00:00,10340.76
2024-01-31T08:00:00+00:00,10128.81
2024-01-31T16:00:00+00:00,10358.26
2024-02-01T00:00:00+00:00,10146.31
2024-02-01T12:00:00+00:00,10247.36
2024-02-01T20:00:00+00:00,10437.42
2024-02-02T16:00:00+00:00,10531.92
2024-02-03T00:00:00+00:00,10626.42
2024-02-04T00:00:00+00:00,10565.9
2024-02-04T20:00:00+00:00,10353.95
2024-02-05T04:00:00+00:00,10514.15
2024-02-05T12:00:00+00:00,10608.65
2024-02-06T00:00:00+00:00,10703.15
2024-02-06T12:00:00+00:00,10832.01
2024-02-07T12:00:00+00:00,10759.57
2024-02-07T20:00:00+00:00,11189.44
2024-02-08T08:00:00+00:00,11296.46
2024-02-08T16:00:00+00:00,11479.93
2024-02-09T00:00:00+00:00,11728.56
2024-02-09T08:00:00+00:00,12077.96
2024-02-09T16:00:00+00:00,12172.46
2024-02-10T08:00:00+00:00,11960.51
2024-02-10T16:00:00+00:00,12056.11
2024-02-11T00:00:00+00:00,12361.69
2024-02-12T00:00:00+00:00,12232.67
2024-02-12T12:00:00+00:00,12777.44
2024-02-12T20:00:00+00:00,12871.94
2024-02-13T12:00:00+00:00,12659.99
2024-02-14T00:00:00+00:00,12794.64
2024-02-14T08:00:00+00:00,13411.66
2024-02-15T16:00:00+00:00,13199.71
2024-02-16T08:00:00+00:00,13294.21
2024-02-17T08:00:00+00:00,13082.26
2024-02-17T16:00:00+00:00,12870.31
2024-02-18T00:00:00+00:00,12964.81
2024-02-18T08:00:00+00:00,13059.31
2024-02-18T20:00:00+00:00,13153.81
2024-02-19T08:00:00+00:00,13248.31
2024-02-20T00:00:00+00:00,13036.36
2024-02-20T08:00:00+00:00,13232.73
2024-02-20T16:00:00+00:00,13020.78
2024-02-21T12:00:00+00:00,13129.77
2024-02-21T20:00:00+00:00,12917.82
2024-02-22T12:00:00+00:00,13012.32
2024-02-22T20:00:00+00:00,13106.82
2024-02-23T04:00:00+00:00,13201.39
2024-02-23T20:00:00+00:00,13295.89
2024-02-24T16:00:00+00:00,13083.94
2024-02-26T12:00:00+00:00,12871.99
2024-02-26T20:00:00+00:00,13325.06
2024-02-27T04:00:00+00:00,13750.14
2024-02-27T16:00:00+00:00,13952.69
2024-03-03T12:00:00+00:00,14047.19
2024-03-03T20:00:00+00:00,14268.54
2024-03-04T04:00:00+00:00,14480.22
2024-03-10T08:00:00+00:00,14574.72
2024-03-10T20:00:00+00:00,14362.77
2024-03-14T12:00:00+00:00,14150.82
2024-03-27T04:00:00+00:00,14245.32
2024-03-29T04:00:00+00:00,14033.37
2024-03-29T12:00:00+00:00,14127.87
2024-03-30T20:00:00+00:00,14059.76
2024-03-31T04:00:00+00:00,14203.79
2024-03-31T16:00:00+00:00,14355.63
2024-04-01T04:00:00+00:00,14143.68
2024-04-01T12:00:00+00:00,13931.73
2024-04-01T20:00:00+00:00,14231.46
2024-04-02T04:00:00+00:00,14019.51
2024-04-02T20:00:00+00:00,13807.56
2024-04-03T04:00:00+00:00,13595.61
2024-04-03T12:00:00+00:00,13690.11
2024-04-04T04:00:00+00:00,13784.61
2024-04-04T12:00:00+00:00,13572.66
2024-04-05T12:00:00+00:00,13360.71
2024-04-11T20:00:00+00:00,13455.21
2024-04-12T04:00:00+00:00,13608.12
2024-04-12T12:00:00+00:00,13396.17
2024-04-23T12:00:00+00:00,13490.67
2024-04-24T00:00:00+00:00,13585.17
2024-04-25T16:00:00+00:00,13373.22
2024-04-26T04:00:00+00:00,13467.72
2024-04-26T12:00:00+00:00,13632.09
2024-04-27T00:00:00+00:00,13726.59
2024-04-28T00:00:00+00:00,13514.64
2024-04-28T08:00:00+00:00,13627.04
2024-04-28T20:00:00+00:00,13721.54
2024-04-29T04:00:00+00:00,13882.23
2024-04-29T12:00:00+00:00,13976.73
2024-04-29T20:00:00+00:00,13764.78
2024-04-30T04:00:00+00:00,13921.62
2024-04-30T12:00:00+00:00,14470.16
2024-04-30T20:00:00+00:00,14564.66
2024-05-01T04:00:00+00:00,15336.45
2024-05-05T00:00:00+00:00,15430.95
2024-05-06T12:00:00+00:00,15219.0
2024-05-09T12:00:00+00:00,15007.05
2024-05-10T12:00:00+00:00,14795.1
2024-05-13T04:00:00+00:00,14583.15
2024-05-13T12:00:00+00:00,14371.2
2024-05-14T00:00:00+00:00,14482.02
2024-05-14T08:00:00+00:00,14636.82
2024-05-14T16:00:00+00:00,14731.32
2024-05-15T08:00:00+00:00,14519.37
2024-05-15T16:00:00+00:00,14307.42
2024-05-16T12:00:00+00:00,14401.92
2024-05-17T04:00:00+00:00,14515.41
2024-05-17T12:00:00+00:00,14688.65
2024-05-18T12:00:00+00:00,14589.87
2024-05-19T00:00:00+00:00,14684.37
2024-05-19T08:00:00+00:00,14778.87
2024-05-19T16:00:00+00:00,14566.92
2024-05-20T00:00:00+00:00,14700.41
2024-05-20T08:00:00+00:00,14794.91
2024-05-20T16:00:00+00:00,15459.83
2024-05-21T00:00:00+00:00,15732.29
2024-05-21T12:00:00+00:00,15520.34
2024-05-21T20:00:00+00:00,15614.84
2024-05-22T16:00:00+00:00,15709.34
2024-05-23T12:00:00+00:00,15497.39
2024-05-25T08:00:00+00:00,15591.89
2024-05-26T08:00:00+00:00,15590.26
2024-05-26T20:00:00+00:00,15378.31
2024-05-27T12:00:00+00:00,15781.61
2024-05-27T20:00:00+00:00,15569.66
2024-05-28T12:00:00+00:00,15664.16
2024-05-29T08:00:00+00:00,15779.97
2024-05-29T16:00:00+00:00,15878.78
2024-05-30T00:00:00+00:00,15666.83
2024-05-30T08:00:00+00:00,15761.33
2024-05-30T16:00:00+00:00,15549.38
2024-05-31T04:00:00+00:00,15643.88
2024-05-31T12:00:00+00:00,15845.89
2024-06-01T12:00:00+00:00,15727.83
2024-06-02T12:00:00+00:00,15613.6
2024-06-02T20:00:00+00:00,15708.1
2024-06-03T04:00:00+00:00,15496.15
2024-06-03T12:00:00+00:00,15284.2
2024-06-04T00:00:00+00:00,15072.25
2024-06-05T00:00:00+00:00,15174.15
2024-06-05T12:00:00+00:00,15295.49
2024-06-06T12:00:00+00:00,15222.59
2024-06-06T20:00:00+00:00,15010.64
2024-06-07T04:00:00+00:00,15105.14
2024-06-07T12:00:00+00:00,15199.64
2024-06-07T20:00:00+00:00,14987.69
2024-06-08T20:00:00+00:00,14969.1
2024-06-09T16:00:00+00:00,15063.6
2024-06-10T16:00:00+00:00,15004.63
2024-06-11T00:00:00+00:00,14792.68
2024-06-11T08:00:00+00:00,15120.82
2024-06-11T16:00:00+00:00,15215.32
2024-06-12T00:00:00+00:00,15309.82
2024-06-12T12:00:00+00:00,15097.87
2024-06-12T20:00:00+00:00,15401.56
2024-06-13T04:00:00+00:00,15509.39
2024-06-13T12:00:00+00:00,15776.57
2024-06-14T12:00:00+00:00,15564.62
2024-06-14T20:00:00+00:00,15659.12
2024-06-15T20:00:00+00:00,15607.6
2024-06-16T20:00:00+00:00,15495.95
