entry_time,exit_time,side,entry_price,exit_price,pnl_usd,exit_type,regime,holding_candles,equity
2024-01-06T00:00:00+00:00,2024-01-07T00:00:00+00:00,SHORT,43925.8,44218.57,-111.98,HALF_RISK_SL,neutral,6,8760.12
2024-01-07T00:00:00+00:00,2024-01-07T08:00:00+00:00,SHORT,43937.2,44054.0,-51.88,TIME_EXIT_LOSS,neutral,1,8708.24
2024-01-07T08:00:00+00:00,2024-01-07T16:00:00+00:00,SHORT,44054.0,44238.8,-74.92,TIME_EXIT_LOSS,neutral,1,8633.32
2024-01-07T16:00:00+00:00,2024-01-08T00:00:00+00:00,LONG,44238.8,43649.1,-211.95,SL,bull,2,8421.37
2024-01-08T00:00:00+00:00,2024-01-08T08:00:00+00:00,SHORT,43501.9,44081.78,-211.95,SL,neutral,2,8209.42
2024-01-08T08:00:00+00:00,2024-01-08T16:00:00+00:00,LONG,44637.2,47006.7,784.25,TRAIL_TP,bull,2,8993.67
2024-01-08T16:00:00+00:00,2024-01-09T00:00:00+00:00,LONG,47006.7,46380.1,-211.95,SL,bull,2,8781.72
2024-01-09T00:00:00+00:00,2024-01-09T08:00:00+00:00,LONG,46932.8,46624.4,-110.57,TIME_EXIT_LOSS,bull,1,8671.15
2024-01-09T08:00:00+00:00,2024-01-09T20:00:00+00:00,LONG,46624.4,46313.65,-111.97,HALF_RISK_SL,bull,3,8559.18
2024-01-09T20:00:00+00:00,2024-01-10T04:00:00+00:00,LONG,46114.0,45766.4,-125.07,TIME_EXIT_LOSS,bull,1,8434.11
2024-01-10T04:00:00+00:00,2024-01-10T12:00:00+00:00,LONG,45766.4,45156.33,-211.95,SL,bull,2,8222.16
2024-01-10T12:00:00+00:00,2024-01-10T20:00:00+00:00,LONG,45569.0,44961.57,-211.95,SL,bull,2,8010.21
2024-01-10T20:00:00+00:00,2024-01-11T04:00:00+00:00,LONG,46662.9,46040.88,-211.95,SL,bull,2,7798.26
2024-01-11T04:00:00+00:00,2024-01-11T12:00:00+00:00,LONG,46096.1,46813.4,221.41,TRAIL_TP,bull,2,8019.67
2024-01-11T12:00:00+00:00,2024-01-11T20:00:00+00:00,SHORT,46813.4,46314.84,147.75,TP,neutral,2,8167.42
2024-01-11T20:00:00+00:00,2024-01-12T04:00:00+00:00,SHORT,46337.8,45844.3,147.75,TP,bear,2,8315.17
2024-01-12T04:00:00+00:00,2024-01-12T12:00:00+00:00,SHORT,46002.6,44495.1,479.55,TRAIL_TP,bear,2,8794.72
2024-01-12T12:00:00+00:00,2024-01-12T20:00:00+00:00,SHORT,44495.1,42788.9,563.19,TRAIL_TP,bear,2,9357.91
2024-01-12T20:00:00+00:00,2024-01-13T04:00:00+00:00,SHORT,42788.9,43102.1,-121.79,TIME_EXIT_LOSS,bear,1,9236.12
2024-01-13T04:00:00+00:00,2024-01-13T12:00:00+00:00,SHORT,43102.1,42643.06,147.75,TP,bear,2,9383.87
2024-01-13T12:00:00+00:00,2024-01-14T00:00:00+00:00,SHORT,43159.7,42691.2,150.83,TRAIL_TP,bear,3,9534.7
2024-01-14T00:00:00+00:00,2024-01-14T08:00:00+00:00,SHORT,42691.2,42836.8,-63.16,TIME_EXIT_LOSS,bear,1,9471.54
2024-01-14T08:00:00+00:00,2024-01-14T20:00:00+00:00,SHORT,42836.8,41734.9,373.85,TRAIL_TP,bear,3,9845.39
2024-01-14T20:00:00+00:00,2024-01-15T04:00:00+00:00,SHORT,41734.9,42291.23,-211.95,SL,bear,2,9633.44
2024-01-15T04:00:00+00:00,2024-01-15T12:00:00+00:00,SHORT,42713.1,42258.21,147.75,TP,bear,2,9781.19
2024-01-15T12:00:00+00:00,2024-01-15T20:00:00+00:00,SHORT,42278.7,42842.28,-211.95,SL,bear,2,9569.24
2024-01-15T20:00:00+00:00,2024-01-16T04:00:00+00:00,SHORT,42515.0,42788.1,-108.35,TIME_EXIT_LOSS,bear,1,9460.89
2024-01-16T04:00:00+00:00,2024-01-16T12:00:00+00:00,SHORT,42788.1,42332.41,147.75,TP,bear,2,9608.64
2024-01-16T12:00:00+00:00,2024-01-17T04:00:00+00:00,SHORT,43251.7,42654.0,195.29,TRAIL_TP,bear,4,9803.93
2024-01-17T04:00:00+00:00,2024-01-18T04:00:00+00:00,SHORT,42654.0,42918.3,-104.95,MAX_HOLD_EXIT,bear,6,9698.98
2024-01-18T04:00:00+00:00,2024-01-18T12:00:00+00:00,SHORT,42918.3,42461.22,147.75,TP,bear,2,9846.73
2024-01-18T12:00:00+00:00,2024-01-18T20:00:00+00:00,SHORT,42618.9,41323.1,444.07,TRAIL_TP,bear,2,10290.8
2024-01-18T20:00:00+00:00,2024-01-19T12:00:00+00:00,SHORT,41323.1,40883.01,147.75,TP,bear,4,10438.55
