entry_time,exit_time,side,entry_price,exit_price,initial_sl,final_sl,tp,pnl_usd,equity,exit_type,gate,fgi,regime,bcd_conf,breakeven_locked,holding_candles,notional,leverage,actual_move_pct
2026-01-01T00:00:00+00:00,2026-01-02T00:00:00+00:00,SHORT,87824.6,88995.3,88995.3,88995.3,87201.05,-211.95,9788.05,SL,ACTIVE,20.0,neutral,1.0,False,6,15000.0,15.0,-1.333
2026-01-02T00:00:00+00:00,2026-01-02T08:00:00+00:00,LONG,88899.3,89530.49,87714.27,87714.27,89530.49,94.5,9882.55,TP,ACTIVE,28.0,bull,1.0,False,2,15000.0,15.0,0.71
2026-01-02T08:00:00+00:00,2026-01-02T16:00:00+00:00,LONG,89458.3,90093.45,88265.82,88265.82,90093.45,94.5,9977.05,TP,ACTIVE,28.0,bull,1.0,False,2,15000.0,15.0,0.71
2026-01-02T16:00:00+00:00,2026-01-03T16:00:00+00:00,LONG,89865.0,90091.8,88667.1,88667.1,90503.04,25.86,10002.91,TIME_EXIT,ACTIVE,28.0,bull,1.0,False,6,15000.0,15.0,0.2524
2026-01-03T16:00:00+00:00,2026-01-04T00:00:00+00:00,LONG,90091.8,91192.7,88890.88,88890.88,90731.45,171.3,10174.21,TRAIL_TP,ACTIVE,29.0,bull,1.0,False,2,15000.0,15.0,1.222
2026-01-04T00:00:00+00:00,2026-01-05T00:00:00+00:00,LONG,91192.7,92835.2,89977.1,89977.1,91840.17,258.17,10432.38,TRAIL_TP,ACTIVE,25.0,bull,1.0,False,6,15000.0,15.0,1.8011
2026-01-05T00:00:00+00:00,2026-01-05T12:00:00+00:00,LONG,92835.2,93899.9,91597.71,91597.71,93494.33,160.03,10592.41,TRAIL_TP,ACTIVE,26.0,bull,1.0,False,3,15000.0,15.0,1.1469
2026-01-05T12:00:00+00:00,2026-01-05T20:00:00+00:00,LONG,93899.9,94566.59,92648.21,92648.21,94566.59,94.5,10686.91,TP,ACTIVE,26.0,bull,1.0,False,2,15000.0,15.0,0.71
2026-01-05T20:00:00+00:00,2026-01-06T16:00:00+00:00,LONG,93822.4,92571.75,92571.75,92571.75,94488.54,-211.95,10474.96,SL,ACTIVE,26.0,bull,1.0,False,5,15000.0,15.0,-1.333
2026-01-06T16:00:00+00:00,2026-01-07T00:00:00+00:00,LONG,92062.2,92778.2,90835.01,90835.01,92715.84,104.66,10579.62,TRAIL_TP,ACTIVE,44.0,bull,1.0,False,2,15000.0,15.0,0.7777
2026-01-07T00:00:00+00:00,2026-01-07T12:00:00+00:00,LONG,92778.2,91541.47,91541.47,91541.47,93436.93,-211.95,10367.67,SL,ACTIVE,42.0,bull,1.0,False,3,15000.0,15.0,-1.333
2026-01-07T12:00:00+00:00,2026-01-08T04:00:00+00:00,LONG,91303.1,90086.03,90086.03,90086.03,91951.35,-211.95,10155.72,SL,ACTIVE,42.0,bull,1.0,False,4,15000.0,15.0,-1.333
2026-01-08T04:00:00+00:00,2026-01-08T12:00:00+00:00,LONG,90509.9,89303.4,89303.4,89303.4,91152.52,-211.95,9943.77,SL,ACTIVE,28.0,bull,1.0,False,2,15000.0,15.0,-1.333
2026-01-08T12:00:00+00:00,2026-01-08T20:00:00+00:00,LONG,90730.0,91374.18,89520.57,89520.57,91374.18,94.5,10038.27,TP,ACTIVE,28.0,bull,1.0,False,2,15000.0,15.0,0.71
2026-01-08T20:00:00+00:00,2026-01-09T08:00:00+00:00,LONG,91059.8,89845.97,89845.97,89845.97,91706.32,-211.95,9826.32,SL,ACTIVE,28.0,bull,1.0,False,3,15000.0,15.0,-1.333
2026-01-09T08:00:00+00:00,2026-01-09T16:00:00+00:00,LONG,90398.1,91039.93,89193.09,89193.09,91039.93,94.5,9920.82,TP,ACTIVE,27.0,bull,1.0,False,2,15000.0,15.0,0.71
2026-01-09T16:00:00+00:00,2026-01-10T16:00:00+00:00,LONG,90290.6,90591.4,89087.03,89087.03,90931.66,37.97,9958.79,TIME_EXIT,ACTIVE,27.0,bull,1.0,False,6,15000.0,15.0,0.3331
2026-01-10T16:00:00+00:00,2026-01-11T16:00:00+00:00,LONG,90591.4,91234.6,89383.82,89383.82,91234.6,94.5,10053.29,TP,ACTIVE,25.0,bull,1.0,False,6,15000.0,15.0,0.71
2026-01-11T16:00:00+00:00,2026-01-12T00:00:00+00:00,LONG,90644.7,91766.2,89436.41,89436.41,91288.28,173.59,10226.88,TRAIL_TP,ADVISORY,29.0,bull,1.0,False,2,15000.0,15.0,1.2372
2026-01-12T00:00:00+00:00,2026-01-12T08:00:00+00:00,LONG,91766.2,90542.96,90542.96,90542.96,92417.74,-211.95,10014.93,SL,ACTIVE,27.0,bull,1.0,False,2,15000.0,15.0,-1.333
2026-01-12T08:00:00+00:00,2026-01-12T16:00:00+00:00,LONG,90573.9,91821.9,89366.55,89366.55,91216.97,194.68,10209.61,TRAIL_TP,ACTIVE,27.0,bull,1.0,False,2,15000.0,15.0,1.3779
2026-01-12T16:00:00+00:00,2026-01-13T08:00:00+00:00,LONG,91821.9,92473.84,90597.91,90597.91,92473.84,94.5,10304.11,TP,ACTIVE,27.0,bull,1.0,False,4,15000.0,15.0,0.71
2026-01-13T08:00:00+00:00,2026-01-13T16:00:00+00:00,LONG,91962.1,94179.5,90736.25,90736.25,92615.03,349.68,10653.79,TRAIL_TP,ACTIVE,26.0,bull,1.0,False,2,15000.0,15.0,2.4112
2026-01-13T16:00:00+00:00,2026-01-14T00:00:00+00:00,LONG,94179.5,95665.7,92924.09,92924.09,94848.17,224.71,10878.5,TRAIL_TP,ACTIVE,26.0,bull,1.0,False,2,15000.0,15.0,1.5781
2026-01-14T00:00:00+00:00,2026-01-14T12:00:00+00:00,LONG,95665.7,96691.9,94390.48,94390.48,96344.93,148.9,11027.4,TRAIL_TP,ACTIVE,48.0,bull,1.0,False,3,15000.0,15.0,1.0727
2026-01-14T12:00:00+00:00,2026-01-14T20:00:00+00:00,LONG,96691.9,97378.41,95403.0,95403.0,97378.41,94.5,11121.9,TP,ACTIVE,48.0,bull,1.0,False,2,15000.0,15.0,0.71
2026-01-14T20:00:00+00:00,2026-01-15T12:00:00+00:00,LONG,96907.9,95616.12,95616.12,95616.12,97595.95,-211.95,10909.95,SL,ACTIVE,48.0,bull,1.0,False,4,15000.0,15.0,-1.333
2026-01-15T12:00:00+00:00,2026-01-15T20:00:00+00:00,LONG,96717.3,95428.06,95428.06,95428.06,97403.99,-211.95,10698.0,SL,ACTIVE,61.0,bull,1.0,False,2,15000.0,15.0,-1.333
2026-01-15T20:00:00+00:00,2026-01-16T12:00:00+00:00,LONG,95567.3,94293.39,94293.39,94293.39,96245.83,-211.95,10486.05,SL,ACTIVE,61.0,bull,1.0,False,4,15000.0,15.0,-1.333
2026-01-16T12:00:00+00:00,2026-01-16T20:00:00+00:00,LONG,94537.5,95503.7,93277.32,93277.32,95208.72,141.3,10627.35,TRAIL_TP,ACTIVE,49.0,bull,1.0,False,2,15000.0,15.0,1.022
2026-01-16T20:00:00+00:00,2026-01-17T20:00:00+00:00,LONG,95503.7,95107.9,94230.64,94230.64,96181.78,-74.17,10553.18,TIME_EXIT,ACTIVE,49.0,bull,1.0,False,6,15000.0,15.0,-0.4144
2026-01-17T20:00:00+00:00,2026-01-18T20:00:00+00:00,LONG,95107.9,93840.11,93840.11,93840.11,95783.17,-211.95,10341.23,SL,ACTIVE,50.0,bull,1.0,False,6,15000.0,15.0,-1.333
2026-01-18T20:00:00+00:00,2026-01-19T04:00:00+00:00,LONG,93614.0,92366.13,92366.13,92366.13,94278.66,-211.95,10129.28,SL,ACTIVE,49.0,bull,1.0,False,2,15000.0,15.0,-1.333
2026-01-19T04:00:00+00:00,2026-01-20T04:00:00+00:00,LONG,92787.9,91551.04,91551.04,91551.04,93446.69,-211.95,9917.33,SL,ACTIVE,44.0,bull,1.0,False,6,15000.0,15.0,-1.333
2026-01-20T04:00:00+00:00,2026-01-20T12:00:00+00:00,SHORT,91136.1,90489.03,92350.94,92350.94,90489.03,94.5,10011.83,TP,ACTIVE,32.0,neutral,1.0,False,2,15000.0,15.0,0.71
2026-01-20T12:00:00+00:00,2026-01-20T20:00:00+00:00,SHORT,90644.2,88390.6,91852.49,91852.49,90000.63,360.93,10372.76,TRAIL_TP,ACTIVE,32.0,neutral,1.0,False,2,15000.0,15.0,2.4862
2026-01-20T20:00:00+00:00,2026-01-21T04:00:00+00:00,SHORT,88390.6,89568.85,89568.85,89568.85,87763.03,-211.95,10160.81,SL,ACTIVE,32.0,bear,1.0,False,2,15000.0,15.0,-1.333
2026-01-21T04:00:00+00:00,2026-01-21T12:00:00+00:00,SHORT,89171.3,90359.95,90359.95,90359.95,88538.18,-211.95,9948.86,SL,ACTIVE,24.0,neutral,1.0,False,2,15000.0,15.0,-1.333
2026-01-21T12:00:00+00:00,2026-01-21T20:00:00+00:00,SHORT,90237.1,89411.4,91439.96,91439.96,89596.42,125.26,10074.12,TRAIL_TP,ACTIVE,24.0,neutral,1.0,False,2,15000.0,15.0,0.915
2026-01-21T20:00:00+00:00,2026-01-22T12:00:00+00:00,SHORT,89411.4,88776.58,90603.25,90603.25,88776.58,94.5,10168.62,TP,ACTIVE,24.0,bear,1.0,False,4,15000.0,15.0,0.71
2026-01-22T12:00:00+00:00,2026-01-23T12:00:00+00:00,SHORT,88953.6,89711.2,90139.35,90139.35,88322.03,-139.75,10028.87,TIME_EXIT,ACTIVE,20.0,bear,1.0,False,6,15000.0,15.0,-0.8517
2026-01-23T12:00:00+00:00,2026-01-24T12:00:00+00:00,SHORT,89711.2,89235.0,90907.05,90907.05,89074.25,67.62,10096.49,TIME_EXIT,ACTIVE,24.0,bear,1.0,False,6,15000.0,15.0,0.5308
2026-01-24T12:00:00+00:00,2026-01-25T04:00:00+00:00,SHORT,89235.0,88601.43,90424.5,90424.5,88601.43,94.5,10190.99,TP,ACTIVE,25.0,bear,1.0,False,4,15000.0,15.0,0.71
2026-01-25T04:00:00+00:00,2026-01-25T16:00:00+00:00,SHORT,88630.3,86459.4,89811.74,89811.74,88001.02,355.41,10546.4,TRAIL_TP,ACTIVE,25.0,bear,1.0,False,3,15000.0,15.0,2.4494
2026-01-25T16:00:00+00:00,2026-01-26T00:00:00+00:00,SHORT,86459.4,87611.9,87611.9,87611.9,85845.54,-211.95,10334.45,SL,ACTIVE,25.0,bear,1.0,False,2,15000.0,15.0,-1.333
2026-01-26T00:00:00+00:00,2026-01-26T12:00:00+00:00,SHORT,87233.1,88395.92,88395.92,88395.92,86613.74,-211.95,10122.5,SL,ACTIVE,20.0,bear,1.0,False,3,15000.0,15.0,-1.333
2026-01-26T12:00:00+00:00,2026-01-27T00:00:00+00:00,SHORT,87609.5,88777.33,88777.33,88777.33,86987.47,-211.95,9910.55,SL,ACTIVE,20.0,bear,1.0,False,3,15000.0,15.0,-1.333
2026-01-27T00:00:00+00:00,2026-01-27T08:00:00+00:00,SHORT,88744.6,87947.5,89927.57,89927.57,88114.51,122.73,10033.28,TRAIL_TP,ACTIVE,29.0,bear,1.0,False,2,15000.0,15.0,0.8982
2026-01-27T08:00:00+00:00,2026-01-27T16:00:00+00:00,SHORT,87947.5,87323.07,89119.84,89119.84,87323.07,94.5,10127.78,TP,ACTIVE,29.0,bear,1.0,False,2,15000.0,15.0,0.71
