candle,equity
2022-11-18T20:00:00+00:00,10000.0
2022-11-19T04:00:00+00:00,10094.5
2022-11-20T08:00:00+00:00,10204.5
2022-11-20T20:00:00+00:00,10491.39
2022-11-21T08:00:00+00:00,10585.89
2022-11-25T00:00:00+00:00,10683.97
2022-11-26T08:00:00+00:00,10593.64
2022-11-27T20:00:00+00:00,10688.14
2022-11-28T16:00:00+00:00,10782.64
2022-11-29T04:00:00+00:00,10570.69
2022-11-30T00:00:00+00:00,10906.62
2022-11-30T16:00:00+00:00,11082.69
2022-12-01T12:00:00+00:00,10870.74
2022-12-02T00:00:00+00:00,10965.24
2022-12-02T20:00:00+00:00,11068.15
2022-12-04T04:00:00+00:00,11064.65
2022-12-04T20:00:00+00:00,11159.15
2022-12-05T16:00:00+00:00,10947.2
2022-12-06T20:00:00+00:00,11041.7
2022-12-07T08:00:00+00:00,10829.75
2022-12-08T12:00:00+00:00,10924.25
2022-12-09T12:00:00+00:00,11018.75
2022-12-12T20:00:00+00:00,10806.8
2022-12-13T16:00:00+00:00,11086.73
2022-12-14T08:00:00+00:00,11181.23
2022-12-14T20:00:00+00:00,10969.28
2022-12-15T12:00:00+00:00,10757.33
2022-12-16T04:00:00+00:00,10851.83
2022-12-17T00:00:00+00:00,11037.62
2022-12-18T20:00:00+00:00,11014.2
2022-12-19T16:00:00+00:00,11143.74
2022-12-20T04:00:00+00:00,10931.79
2022-12-21T12:00:00+00:00,11026.29
2022-12-22T12:00:00+00:00,11147.3
2022-12-23T12:00:00+00:00,10935.35
2022-12-25T00:00:00+00:00,10910.82
2022-12-25T16:00:00+00:00,11005.32
2022-12-27T00:00:00+00:00,10984.38
2022-12-28T04:00:00+00:00,11078.88
2022-12-28T16:00:00+00:00,11173.38
2022-12-30T00:00:00+00:00,11141.63
2022-12-30T12:00:00+00:00,11236.13
2022-12-31T20:00:00+00:00,11238.85
2023-01-02T16:00:00+00:00,11096.36
2023-01-04T00:00:00+00:00,10943.72
2023-01-06T20:00:00+00:00,10731.77
