timestamp,open,high,low,close,volume,cvd,open_interest,liquidations_buy,liquidations_sell,global_ls_ratio,top_ls_ratio_acc,taker_ls_vol_ratio,fut_funding_rate,norm_delta,norm_cvd_of,buy_sell_ratio,fut_oi
2020-09-01 00:00:00,11658.11,11710.0,11531.34,11698.75,30317.269997799,-871.0360824207004,38328.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38328.65
2020-09-01 04:00:00,11698.75,11956.2,11686.0,11933.08,46954.56891228,2837.4989516752994,39471.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39471.503
2020-09-01 08:00:00,11934.24,11965.0,11852.04,11884.94,34301.5310123,622.8299527762993,41007.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41007.774
2020-09-01 12:00:00,11884.99,12055.16,11812.0,12049.13,44820.0930059,1709.9209457482991,40465.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40465.636
2020-09-01 16:00:00,12049.12,12061.07,11960.69,11969.79,25662.1450186154,-758.3780843001007,40950.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40950.544
2020-09-01 20:00:00,11969.78,12059.79,11867.0,11930.18,29625.21999987,-2764.488035725101,39187.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39187.191
2020-09-02 00:00:00,11930.17,11961.0,11834.77,11844.12,27916.35600975,-5102.4419999056045,38123.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38123.068
2020-09-02 04:00:00,11844.11,11910.3,11730.02,11737.67,35349.66802301,-9783.561900956607,38285.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38285.369
2020-09-02 08:00:00,11737.66,11765.0,11156.0,11417.49,100828.4099608,-22613.753577121606,35142.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35142.672
2020-09-02 12:00:00,11417.5,11488.0,11210.0,11340.25,62558.1460838,-24944.259519064603,36890.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36890.131
2020-09-02 16:00:00,11340.84,11411.83,11246.04,11398.25,34865.16099752,-25876.0345320736,37101.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37101.302
2020-09-02 20:00:00,11398.26,11446.64,11311.94,11396.96,18894.22300201,-27575.06953486761,37052.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37052.716
2020-09-03 00:00:00,11396.44,11450.0,11337.01,11356.12,21834.33900835,-29374.51855116431,36304.922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36304.922
2020-09-03 04:00:00,11356.12,11433.02,11251.0,11408.58,42733.04001957,-32836.59256232632,36382.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36382.134
2020-09-03 08:00:00,11408.61,11475.0,11189.71,11218.97,54308.39194164,-39564.87457230769,37896.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37896.105
2020-09-03 12:00:00,11218.98,11263.76,10443.6,10683.59,192504.4679378,-54559.5530112807,34775.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34775.292
2020-09-03 16:00:00,10683.82,10778.2,10559.0,10689.77,67703.5080463,-57004.20312667869,35087.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35087.669
2020-09-03 20:00:00,10689.78,10800.0,9901.16,10141.08,108728.99004003,-65621.84737780367,30128.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30128.355
2020-09-04 00:00:00,10141.4,10347.99,10056.0,10269.79,64275.707995028,-63531.2554939047,31807.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31807.013
2020-09-04 04:00:00,10269.79,10339.46,10100.0,10295.64,53428.72606239,-65754.59738326148,31309.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31309.268
2020-09-04 08:00:00,10295.78,10530.37,10295.0,10421.25,73937.6130294,-69184.1524551495,32045.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32045.994
2020-09-04 12:00:00,10423.84,10500.0,9878.65,10427.24,141250.82709863,-76037.5674289985,32997.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32997.69
2020-09-04 16:00:00,10428.91,10598.87,10306.29,10568.37,62422.65400066,-73063.7074390595,31801.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31801.053
2020-09-04 20:00:00,10568.36,10635.77,10430.49,10448.0,37248.31300076,-75888.5323832875,31714.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31714.241
