model,entry_time,exit_time,side,entry_price,exit_price,sl,tp,sl_pct,tp_pct,notional,leverage,pnl_usd,equity,exit_type,gate,regime,bcd_conf,holding_candles,actual_move_pct,vol_regime,heston_sl_mult,heston_tp_mult
HESTON,2026-01-01T20:00:00+00:00,2026-01-02T12:00:00+00:00,LONG,88800.0,90078.8,87734.33,90078.8,0.012001,0.014401,30000.0,3,408.03,10408.03,TP,ACTIVE,bull,1.0,4,1.4401,Low,1.5,1.8
HESTON,2026-01-02T08:00:00+00:00,2026-01-02T16:00:00+00:00,LONG,89458.3,90773.08,88362.65,90773.08,0.012248,0.014697,31224.09,3,433.93,10841.96,TP,ACTIVE,bull,1.0,2,1.4697,Low,1.5,1.8
HESTON,2026-01-02T12:00:00+00:00,2026-01-03T12:00:00+00:00,LONG,89373.1,89931.8,88170.86,90815.79,0.013452,0.016142,32525.88,3,177.31,11019.27,TIME_EXIT,ACTIVE,bull,1.0,6,0.6251,Low,1.5,1.8
HESTON,2026-01-03T08:00:00+00:00,2026-01-04T00:00:00+00:00,LONG,89706.4,91219.96,88445.1,91219.96,0.01406,0.016872,33057.81,3,531.32,11550.59,TP,ACTIVE,bull,1.0,4,1.6872,Low,1.5,1.8
HESTON,2026-01-03T20:00:00+00:00,2026-01-04T20:00:00+00:00,LONG,90595.8,91497.1,89420.55,92006.1,0.012972,0.015567,34651.77,3,317.01,11867.6,TIME_EXIT,ACTIVE,bull,1.0,6,0.9949,Low,1.5,1.8
HESTON,2026-01-04T16:00:00+00:00,2026-01-05T00:00:00+00:00,LONG,91102.9,92835.2,90004.46,92421.03,0.012057,0.014469,35602.8,3,648.5,12516.1,TRAIL_TP,ACTIVE,bull,1.0,2,1.9015,Low,1.5,1.8
HESTON,2026-01-04T20:00:00+00:00,2026-01-05T04:00:00+00:00,LONG,91497.1,92783.04,90425.49,92783.04,0.011712,0.014054,37548.3,3,497.68,13013.78,TP,ACTIVE,bull,1.0,2,1.4054,Low,1.5,1.8
HESTON,2026-01-05T00:00:00+00:00,2026-01-05T16:00:00+00:00,LONG,92835.2,94274.34,91635.91,94274.34,0.012918,0.015502,39041.34,3,573.99,13587.77,TP,ACTIVE,bull,1.0,4,1.5502,Low,1.5,1.8
HESTON,2026-01-05T12:00:00+00:00,2026-01-06T12:00:00+00:00,LONG,93899.9,93608.2,92606.14,95452.42,0.013778,0.016534,40763.31,3,-159.24,13428.53,TIME_EXIT,ACTIVE,bull,1.0,6,-0.3106,Low,1.5,1.8
HESTON,2026-01-06T08:00:00+00:00,2026-01-06T16:00:00+00:00,LONG,93799.9,92492.26,92492.26,95369.06,0.013941,0.016729,40285.59,3,-593.84,12834.69,SL,ACTIVE,bull,1.0,2,-1.3941,Low,1.5,1.8
HESTON,2026-01-06T12:00:00+00:00,2026-01-06T20:00:00+00:00,LONG,93608.2,92273.6,92273.6,95209.72,0.014257,0.017109,38504.07,3,-579.77,12254.92,SL,ACTIVE,bull,1.0,2,-1.4257,Low,1.5,1.8
HESTON,2026-01-06T16:00:00+00:00,2026-01-07T16:00:00+00:00,LONG,92062.2,91143.6,90552.94,93873.31,0.016394,0.019673,12254.92,1,-132.08,12122.84,TIME_EXIT,ACTIVE,bull,1.0,6,-0.9978,Low,1.5,1.8
HESTON,2026-01-07T12:00:00+00:00,2026-01-08T04:00:00+00:00,LONG,91303.1,89679.07,89679.07,93251.93,0.017787,0.021345,12122.84,1,-225.33,11897.51,SL,ACTIVE,bull,1.0,4,-1.7787,Low,1.5,1.8
HESTON,2026-01-08T00:00:00+00:00,2026-01-09T00:00:00+00:00,LONG,90780.1,91190.1,89185.91,92693.13,0.017561,0.021073,11897.51,1,44.22,11941.73,TIME_EXIT,ACTIVE,bull,1.0,6,0.4516,Low,1.5,1.8
HESTON,2026-01-08T20:00:00+00:00,2026-01-09T20:00:00+00:00,LONG,91059.8,90603.6,89387.68,93066.34,0.018363,0.022035,11941.73,1,-69.38,11872.35,TIME_EXIT,ACTIVE,bull,1.0,6,-0.501,Low,1.5,1.8
HESTON,2026-01-09T16:00:00+00:00,2026-01-10T16:00:00+00:00,LONG,90290.6,90591.4,88530.08,92403.22,0.019498,0.023398,11872.35,1,30.05,11902.4,TIME_EXIT,ACTIVE,bull,1.0,6,0.3331,Low,1.5,1.8
HESTON,2026-01-10T12:00:00+00:00,2026-01-11T12:00:00+00:00,LONG,90622.7,90834.1,89256.31,92262.37,0.015078,0.018093,11902.4,1,18.24,11920.64,TIME_EXIT,ACTIVE,bull,1.0,6,0.2333,Low,1.5,1.8
HESTON,2026-01-11T08:00:00+00:00,2026-01-12T00:00:00+00:00,LONG,90707.3,91987.9,89640.13,91987.9,0.011765,0.014118,35761.92,3,476.28,12396.92,TP,ACTIVE,bull,1.0,4,1.4118,Low,1.5,1.8
HESTON,2026-01-11T20:00:00+00:00,2026-01-12T04:00:00+00:00,LONG,90964.4,92227.19,89912.08,92227.19,0.011569,0.013882,37190.76,3,486.54,12883.46,TP,ACTIVE,bull,1.0,2,1.3882,Low,1.5,1.8
HESTON,2026-01-12T00:00:00+00:00,2026-01-12T08:00:00+00:00,LONG,91766.2,90591.26,90591.26,93176.13,0.012804,0.015364,38650.38,3,-525.79,12357.67,SL,ACTIVE,bull,1.0,2,-1.2804,Low,1.5,1.8
