config,entry_time,exit_time,side,size,entry_price,exit_price,pnl_pct,exit_type,holding_minutes,l1_regime,l4_volatility_bucket,exhaustion_bucket
e_1h_fixed,2025-11-29 04:00:00+00:00,2025-11-29 08:00:00+00:00,1.0,1.0,90523.5,90633.7,0.001217363447060693,TIME_EXIT,240.0,bear,low,low
e_1h_fixed,2025-11-29 16:00:00+00:00,2025-11-29 20:00:00+00:00,1.0,1.0,90602.9,90765.0,0.001789125955129478,TIME_EXIT,240.0,bear,low,low
e_1h_fixed,2025-12-09 04:00:00+00:00,2025-12-09 08:00:00+00:00,1.0,1.0,90449.9,90341.9,-0.001194031170847043,TIME_EXIT,240.0,bull,low,low
e_1h_fixed,2025-12-15 08:00:00+00:00,2025-12-15 12:00:00+00:00,1.0,1.0,89606.0,86996.6,-0.029120817802379295,TIME_EXIT,240.0,bull,low,low
e_1h_fixed,2026-01-09 00:00:00+00:00,2026-01-09 04:00:00+00:00,1.0,1.0,91190.1,90712.1,-0.005241797081042776,TIME_EXIT,240.0,bull,low,low
e_1h_fixed,2026-01-09 04:00:00+00:00,2026-01-09 08:00:00+00:00,1.0,1.0,90712.1,90398.1,-0.0034615007259229946,TIME_EXIT,240.0,bull,low,low
e_1h_fixed,2026-01-09 20:00:00+00:00,2026-01-10 00:00:00+00:00,1.0,1.0,90603.6,90591.3,-0.00013575619511807524,TIME_EXIT,240.0,bull,low,low
e_1h_fixed,2026-01-16 20:00:00+00:00,2026-01-17 00:00:00+00:00,1.0,1.0,95503.7,95324.0,-0.0018816024928877129,TIME_EXIT,240.0,bear,low,low
e_1h_fixed,2026-02-16 04:00:00+00:00,2026-02-16 08:00:00+00:00,1.0,1.0,68552.4,68769.4,0.003165461748968701,TIME_EXIT,240.0,bull,low,low
e_1h_fixed,2026-02-16 08:00:00+00:00,2026-02-16 12:00:00+00:00,1.0,1.0,68769.4,67505.5,-0.018378813832896523,TIME_EXIT,240.0,bull,low,low
e_1h_fixed,2026-02-28 20:00:00+00:00,2026-03-01 00:00:00+00:00,1.0,1.0,66937.1,67412.35341000001,0.007100000000000106,TP,155.0,bull,low,low
e_1h_fixed,2026-03-06 00:00:00+00:00,2026-03-06 04:00:00+00:00,1.0,1.0,71045.4,71026.7,-0.000263211974315003,TIME_EXIT,240.0,bull,low,low
e_1h_fixed,2026-03-06 04:00:00+00:00,2026-03-06 08:00:00+00:00,1.0,1.0,71026.7,70185.6,-0.011842025604455686,TIME_EXIT,240.0,bull,low,low
e_1h_fixed,2026-03-15 00:00:00+00:00,2026-03-15 04:00:00+00:00,1.0,1.0,71314.8,71420.8,0.0014863674861318454,TIME_EXIT,240.0,bull,low,low
e_1h_fixed,2026-03-15 04:00:00+00:00,2026-03-15 08:00:00+00:00,1.0,1.0,71420.8,71800.0,0.005309377660289494,TIME_EXIT,240.0,bull,low,low
