config,entry_time,exit_time,side,size,entry_price,exit_price,pnl_pct,exit_type,holding_minutes,l1_regime,l4_volatility_bucket,exhaustion_bucket
a_exec_aligned_fixed,2025-11-25 08:00:00+00:00,2025-11-25 12:00:00+00:00,-1.0,1.0,87311.9,86691.98551,0.007099999999999995,TP,85.0,bull,low,low
a_exec_aligned_fixed,2025-11-26 20:00:00+00:00,2025-11-27 00:00:00+00:00,-1.0,1.0,90438.1,89795.98949,0.007099999999999995,TP,3.0,bull,low,low
a_exec_aligned_fixed,2025-11-27 00:00:00+00:00,2025-11-27 04:00:00+00:00,-1.0,1.0,91049.3,90402.84997000001,0.007099999999999884,TP,1.0,bull,low,low
a_exec_aligned_fixed,2025-11-27 08:00:00+00:00,2025-11-27 12:00:00+00:00,-1.0,1.0,91334.9,90912.9,0.00462035870187627,TIME_EXIT,240.0,bull,low,low
a_exec_aligned_fixed,2025-11-27 12:00:00+00:00,2025-11-27 16:00:00+00:00,-1.0,1.0,90912.9,91489.0,-0.0063368344866350235,TIME_EXIT,240.0,bull,low,low
a_exec_aligned_fixed,2025-11-28 16:00:00+00:00,2025-11-28 20:00:00+00:00,-1.0,1.0,91106.1,90459.24669,0.007100000000000106,TP,88.0,bear,low,low
a_exec_aligned_fixed,2025-11-29 16:00:00+00:00,2025-11-29 20:00:00+00:00,-1.0,1.0,90602.9,90765.0,-0.001789125955129478,TIME_EXIT,240.0,bear,low,low
a_exec_aligned_fixed,2025-11-30 00:00:00+00:00,2025-11-30 04:00:00+00:00,-1.0,1.0,90873.0,90924.5,-0.0005667249898209104,TIME_EXIT,240.0,bear,low,low
a_exec_aligned_fixed,2025-11-30 08:00:00+00:00,2025-11-30 12:00:00+00:00,-1.0,1.0,91000.9,91405.8,-0.004449406544331014,TIME_EXIT,240.0,bear,low,low
a_exec_aligned_fixed,2025-11-30 12:00:00+00:00,2025-11-30 16:00:00+00:00,-1.0,1.0,91405.8,91423.2,-0.000190359911515392,TIME_EXIT,240.0,bear,low,low
a_exec_aligned_fixed,2025-11-30 20:00:00+00:00,2025-12-01 00:00:00+00:00,-1.0,1.0,90320.6,91524.57359800002,-0.013330000000000064,SL,6.0,bull,low,low
a_exec_aligned_fixed,2025-12-01 00:00:00+00:00,2025-12-01 04:00:00+00:00,1.0,1.0,86319.2,86932.06632000001,0.007100000000000106,TP,1.0,bull,low,low
a_exec_aligned_fixed,2025-12-01 04:00:00+00:00,2025-12-01 08:00:00+00:00,1.0,1.0,86487.6,86100.1,-0.004480411064707535,TIME_EXIT,240.0,bull,low,low
a_exec_aligned_fixed,2025-12-01 08:00:00+00:00,2025-12-01 12:00:00+00:00,1.0,1.0,86100.1,86711.41071000001,0.007100000000000106,TP,42.0,bull,low,low
a_exec_aligned_fixed,2025-12-01 12:00:00+00:00,2025-12-01 16:00:00+00:00,1.0,1.0,84650.0,85251.01500000001,0.007100000000000106,TP,1.0,bull,low,low
a_exec_aligned_fixed,2025-12-01 16:00:00+00:00,2025-12-01 20:00:00+00:00,1.0,1.0,84985.0,86241.6,0.014786138730364273,TIME_EXIT,240.0,bull,low,low
