entry_time,exit_time,side,entry_price,exit_price,initial_sl,sl,tp,risk_usd,pnl_usd,equity,exit_type,gate,fgi,regime,trail_count,final_sl,tp_extension_factor,holding_duration
2026-01-01T00:00:00+00:00,2026-01-02T00:00:00+00:00,SHORT,87824.6,89039.41,89039.41,89039.41,86293.93,200.0,-200.16,9799.84,SL,ACTIVE,20.0,neutral,0,89039.41,1.0,5
2026-01-01T20:00:00+00:00,2026-01-02T16:00:00+00:00,LONG,88800.0,90814.11,87734.33,87734.33,90814.11,196.0,370.28,10170.12,TP,ACTIVE,20.0,bull,0,87734.33,1.5,4
2026-01-02T12:00:00+00:00,2026-01-03T04:00:00+00:00,LONG,89373.1,89373.1,88170.86,89373.1,91645.34,203.4,-0.16,10169.95,TRAIL_SL,ACTIVE,28.0,bull,1,89373.1,1.5,3
2026-01-03T00:00:00+00:00,2026-01-05T00:00:00+00:00,LONG,90279.9,92651.66,89025.0,90279.9,92651.66,203.4,384.26,10554.22,TP,ACTIVE,29.0,bull,1,90279.9,1.5,11
2026-01-04T20:00:00+00:00,2026-01-05T12:00:00+00:00,LONG,91497.1,93522.45,90425.49,91854.3,93522.45,211.08,398.78,10953.0,TP,ACTIVE,25.0,bull,2,91854.3,1.5,3
2026-01-05T08:00:00+00:00,2026-01-06T04:00:00+00:00,LONG,93093.3,93093.3,91887.86,93093.3,95371.58,219.06,-0.18,10952.82,TRAIL_SL,ACTIVE,26.0,bull,1,93093.3,1.5,4
2026-01-06T00:00:00+00:00,2026-01-06T16:00:00+00:00,LONG,93725.8,92401.95,92401.95,92401.95,96227.88,219.06,-219.23,10733.59,SL,ACTIVE,44.0,bull,0,92401.95,1.5,3
2026-01-06T12:00:00+00:00,2026-01-06T20:00:00+00:00,LONG,93608.2,92273.6,92273.6,92273.6,96130.59,214.67,-214.84,10518.75,SL,ACTIVE,44.0,bull,0,92273.6,1.5,1
2026-01-06T16:00:00+00:00,2026-01-07T08:00:00+00:00,LONG,92062.2,92062.2,90552.94,92062.2,94914.7,210.37,-0.17,10518.58,TRAIL_SL,ACTIVE,44.0,bull,1,92062.2,1.5,3
2026-01-07T04:00:00+00:00,2026-01-07T12:00:00+00:00,LONG,92848.1,91280.48,91280.48,91280.48,95810.9,210.37,-210.54,10308.04,SL,ACTIVE,42.0,bull,0,91280.48,1.5,1
2026-01-07T08:00:00+00:00,2026-01-08T04:00:00+00:00,LONG,92041.9,90438.6,90438.6,90438.6,95072.14,206.16,-206.33,10101.71,SL,ACTIVE,42.0,bull,0,90438.6,1.5,4
2026-01-08T00:00:00+00:00,2026-01-12T00:00:00+00:00,LONG,90780.1,91766.2,89185.91,89185.91,93793.13,202.03,124.81,10226.52,TIME_EXIT,ACTIVE,28.0,bull,0,89185.91,1.5,24
2026-01-12T04:00:00+00:00,2026-01-12T12:00:00+00:00,LONG,91369.2,90181.42,90181.42,90181.42,93614.1,204.53,-204.69,10021.83,SL,ACTIVE,27.0,bull,0,90181.42,1.5,1
