date,pnl,n_trades
2024-01-01,-588.540984473641,3
2024-01-02,-188.37976365477562,1
2024-01-03,-184.60915430546163,1
2024-01-04,-180.91401747288353,1
2024-01-08,681.9931164576656,2
2024-01-09,-378.0653060040952,2
2024-01-10,-183.37626155318497,1
2024-01-15,-0.14364972206389803,1
2024-01-19,-27.698965407761733,2
2024-01-22,338.1768132838287,1
2024-01-23,157.86118612654127,3
2024-01-26,-374.3698329698998,2
2024-01-28,-181.58381453697027,1
2024-01-29,335.9129604361513,1
2024-01-31,-184.67286672128827,1
2024-02-04,-0.1446654313517146,1
2024-02-05,-181.11532653748185,2
2024-02-07,334.7786886005245,1
2024-02-08,707.9831514301177,2
2024-02-09,762.4947606682996,2
2024-02-12,821.2035256378517,2
2024-02-13,-455.2370906975098,2
2024-02-14,849.3813420950128,2
2024-02-18,48.56929922573948,1
2024-02-20,-238.7809349397789,1
2024-02-21,-0.18705155535253737,1
2024-02-25,-132.11801881253604,1
2024-02-26,196.62850349323895,2
2024-02-27,444.1526445622263,1
2024-02-28,1255.4052874544507,4
2024-02-29,-0.1614552428961074,1
2024-03-04,904.0406023429416,2
2024-03-05,-215.71925781744608,2
2024-03-10,-283.08155349458764,1
2024-03-11,523.6742213049565,1
2024-03-12,-215.92294225011,1
2024-03-14,-212.6815070410513,1
2024-03-27,-209.48873225735105,1
2024-04-01,-166.14463084660477,2
2024-04-02,-271.7996322805793,1
2024-04-03,-266.35929084085126,1
2024-04-04,-261.02784327538075,1
2024-04-06,-255.80310996438075,1
2024-04-09,-250.68295491533368,1
2024-04-12,-245.66528488974836,1
2024-04-13,302.9076166375701,1
2024-04-24,-246.81104740201278,1
2024-04-26,304.3203526371995,1
2024-04-29,-191.34110470852693,3
2024-04-30,779.617575753039,2
2024-05-01,999.1317682245353,2
2024-05-06,-553.8722438346913,2
2024-05-07,-268.6494101402144,1
2024-05-09,-263.27212354684787,1
2024-05-10,-258.0024687219342,1
2024-05-13,-252.83829130799595,1
2024-05-15,-490.5954460972856,2
2024-05-19,-0.19021400609120048,1
2024-05-20,915.3383142649043,2
2024-05-21,-256.4760819653516,2
2024-05-23,-497.25654919453046,2
2024-05-27,-241.37755128535437,2
2024-05-30,-236.35720058304835,1
2024-06-02,-231.62627485617804,1
2024-06-03,-449.436653969847,2
2024-06-07,-36.428096374901514,3
2024-06-10,-217.2649744957563,1
2024-06-11,453.40575263237497,3
2024-06-12,-652.7334939976392,3
2024-06-13,262.8698958353798,1
2024-06-17,-144.4448170360707,2
2024-06-18,398.68763654357326,2
2024-06-20,-219.2769828053852,1
2024-06-21,405.64177285012045,1
2024-06-24,1523.0655869771053,5
2024-06-25,-253.49294123185427,1
2024-06-29,-0.1985763601280236,1
2024-06-30,-248.4150518157332,1
2024-07-01,-0.1945985420772098,1
2024-07-02,306.29320445984496,1
2024-07-03,796.9814157893013,2
2024-07-04,1021.3846839336758,2
2024-07-05,539.8152315532612,1
