signal_time,entry_time,exit_time,side,entry_price,exit_price,pnl_usd,exit_type,holding_candles,bcd_conf,regime,gate,entry_mode,limit_px,miss_reason,execution_resolution
2022-11-18T16:00:00+00:00,2022-11-18T20:00:00+00:00,2022-11-19T04:00:00+00:00,SHORT,16664.65,16546.33,94.5,TP,2,0.9333,neutral,ADVISORY,pullback,16664.65,,4H_OHLC_APPROX
2022-11-19T08:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ADVISORY,pullback,16685.97,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2022-11-19T12:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,16665.15,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2022-11-19T16:00:00+00:00,2022-11-19T20:00:00+00:00,2022-11-20T08:00:00+00:00,SHORT,16636.32,16517.5,95.13,TRAIL_TP,3,0.9333,neutral,ACTIVE,pullback,16636.32,,4H_OHLC_APPROX
2022-11-20T12:00:00+00:00,2022-11-20T16:00:00+00:00,2022-11-20T20:00:00+00:00,SHORT,16586.87,16272.6,272.2,TRAIL_TP,1,0.9333,neutral,ACTIVE,pullback,16586.87,,4H_OHLC_APPROX
2022-11-21T00:00:00+00:00,2022-11-21T04:00:00+00:00,2022-11-21T08:00:00+00:00,SHORT,16083.27,15969.08,94.5,TP,1,0.9333,bear,ACTIVE,pullback,16083.27,,4H_OHLC_APPROX
2022-11-21T12:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,16138.82,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2022-11-24T16:00:00+00:00,2022-11-24T20:00:00+00:00,2022-11-25T00:00:00+00:00,SHORT,16585.57,16467.81,94.5,TP,1,0.9333,neutral,ADVISORY,pullback,16585.57,,4H_OHLC_APPROX
2022-11-25T04:00:00+00:00,2022-11-25T08:00:00+00:00,2022-11-26T00:00:00+00:00,SHORT,16470.25,16689.8,-211.95,SL,4,0.9333,neutral,ACTIVE,pullback,16470.25,,4H_OHLC_APPROX
2022-11-26T04:00:00+00:00,2022-11-26T08:00:00+00:00,2022-11-26T12:00:00+00:00,SHORT,16593.48,16475.66,94.5,TP,1,0.9333,neutral,ACTIVE,pullback,16593.48,,4H_OHLC_APPROX
2022-11-26T16:00:00+00:00,2022-11-26T20:00:00+00:00,2022-11-27T20:00:00+00:00,SHORT,16497.18,16422.6,55.81,TIME_EXIT,6,0.9333,neutral,ACTIVE,pullback,16497.18,,4H_OHLC_APPROX
2022-11-28T00:00:00+00:00,2022-11-28T04:00:00+00:00,2022-11-28T16:00:00+00:00,SHORT,16185.07,16070.15,94.5,TP,3,0.9333,neutral,ACTIVE,pullback,16185.07,,4H_OHLC_APPROX
2022-11-28T20:00:00+00:00,2022-11-29T00:00:00+00:00,2022-11-29T04:00:00+00:00,SHORT,16220.7,16436.93,-211.95,SL,1,0.9333,neutral,ACTIVE,pullback,16220.7,,4H_OHLC_APPROX
2022-11-29T08:00:00+00:00,2022-11-29T12:00:00+00:00,2022-11-30T00:00:00+00:00,LONG,16471.51,16836.7,320.56,TRAIL_TP,3,0.9333,bull,ACTIVE,pullback,16471.51,,4H_OHLC_APPROX
2022-11-30T04:00:00+00:00,2022-11-30T08:00:00+00:00,2022-11-30T16:00:00+00:00,LONG,16857.23,17051.5,160.87,TRAIL_TP,2,0.9333,bull,ACTIVE,pullback,16857.23,,4H_OHLC_APPROX
2022-11-30T20:00:00+00:00,2022-12-01T00:00:00+00:00,2022-12-01T12:00:00+00:00,LONG,17136.15,16907.72,-211.95,SL,3,0.9333,bull,ACTIVE,pullback,17136.15,,4H_OHLC_APPROX
2022-12-01T16:00:00+00:00,2022-12-01T20:00:00+00:00,2022-12-02T12:00:00+00:00,LONG,16928.45,17048.65,94.5,TP,4,0.9333,bull,ACTIVE,pullback,16928.45,,4H_OHLC_APPROX
2022-12-02T16:00:00+00:00,,,LONG,,,,MISS,0,0.9333,bull,ACTIVE,pullback,16962.32,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2022-12-02T20:00:00+00:00,2022-12-03T00:00:00+00:00,2022-12-04T00:00:00+00:00,LONG,17065.92,16951.8,-112.3,TIME_EXIT,6,0.9333,bull,ACTIVE,pullback,17065.92,,4H_OHLC_APPROX
2022-12-04T12:00:00+00:00,2022-12-04T16:00:00+00:00,2022-12-04T20:00:00+00:00,LONG,17005.18,17125.91,94.5,TP,1,0.9333,bull,ACTIVE,pullback,17005.18,,4H_OHLC_APPROX
2022-12-05T00:00:00+00:00,,,LONG,,,,MISS,0,0.9333,bull,ACTIVE,pullback,17172.91,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2022-12-05T04:00:00+00:00,2022-12-05T08:00:00+00:00,2022-12-05T12:00:00+00:00,LONG,17286.4,17055.97,-211.95,SL,1,0.9333,bull,ACTIVE,pullback,17286.4,,4H_OHLC_APPROX
2022-12-05T16:00:00+00:00,2022-12-05T20:00:00+00:00,2022-12-06T20:00:00+00:00,SHORT,16936.42,17078.6,-137.92,TIME_EXIT,6,0.9333,neutral,ACTIVE,pullback,16936.42,,4H_OHLC_APPROX
2022-12-07T00:00:00+00:00,2022-12-07T04:00:00+00:00,2022-12-07T08:00:00+00:00,LONG,17000.38,16773.77,-211.95,SL,1,0.9333,bull,ACTIVE,pullback,17000.38,,4H_OHLC_APPROX
2022-12-07T12:00:00+00:00,2022-12-07T16:00:00+00:00,2022-12-08T12:00:00+00:00,LONG,16812.27,16931.64,94.5,TP,5,0.9333,bull,ACTIVE,pullback,16812.27,,4H_OHLC_APPROX
2022-12-08T16:00:00+00:00,2022-12-08T20:00:00+00:00,2022-12-09T12:00:00+00:00,LONG,17224.66,17346.95,94.5,TP,4,0.9333,bull,ACTIVE,pullback,17224.66,,4H_OHLC_APPROX
2022-12-10T16:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ADVISORY,pullback,17183.47,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2022-12-11T20:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,17094.38,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2022-12-12T00:00:00+00:00,2022-12-12T04:00:00+00:00,2022-12-12T20:00:00+00:00,SHORT,16925.91,17151.53,-211.95,SL,4,0.9333,neutral,ACTIVE,pullback,16925.91,,4H_OHLC_APPROX
2022-12-13T08:00:00+00:00,2022-12-13T12:00:00+00:00,2022-12-13T16:00:00+00:00,LONG,17419.36,17740.6,264.62,TRAIL_TP,1,0.9333,bull,ACTIVE,pullback,17419.36,,4H_OHLC_APPROX
2022-12-13T20:00:00+00:00,2022-12-14T00:00:00+00:00,2022-12-14T12:00:00+00:00,LONG,17759.32,18054.8,237.57,TRAIL_TP,3,0.9333,bull,ACTIVE,pullback,17759.32,,4H_OHLC_APPROX
2022-12-14T16:00:00+00:00,2022-12-14T20:00:00+00:00,2022-12-15T12:00:00+00:00,LONG,17771.71,17534.81,-211.95,SL,4,0.9333,bull,ACTIVE,pullback,17771.71,,4H_OHLC_APPROX
2022-12-15T16:00:00+00:00,2022-12-15T20:00:00+00:00,2022-12-16T08:00:00+00:00,LONG,17417.66,17185.49,-211.95,SL,3,0.9333,bull,ACTIVE,pullback,17417.66,,4H_OHLC_APPROX
2022-12-16T12:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ADVISORY,pullback,16978.76,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2022-12-16T16:00:00+00:00,2022-12-16T20:00:00+00:00,2022-12-17T00:00:00+00:00,SHORT,16873.36,16667.5,171.0,TRAIL_TP,1,0.9333,neutral,ADVISORY,pullback,16873.36,,4H_OHLC_APPROX
2022-12-17T04:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,16754.74,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2022-12-17T08:00:00+00:00,2022-12-17T12:00:00+00:00,2022-12-18T12:00:00+00:00,SHORT,16717.3,16676.4,24.7,TIME_EXIT,6,0.9333,neutral,ACTIVE,pullback,16717.3,,4H_OHLC_APPROX
2022-12-18T16:00:00+00:00,2022-12-18T20:00:00+00:00,2022-12-19T00:00:00+00:00,SHORT,16762.35,16643.33,94.5,TP,1,0.9333,bear,ACTIVE,pullback,16762.35,,4H_OHLC_APPROX
2022-12-19T04:00:00+00:00,2022-12-19T08:00:00+00:00,2022-12-19T16:00:00+00:00,SHORT,16731.11,16549.3,151.0,TRAIL_TP,2,0.9333,bear,ACTIVE,pullback,16731.11,,4H_OHLC_APPROX
2022-12-19T20:00:00+00:00,2022-12-20T00:00:00+00:00,2022-12-20T04:00:00+00:00,SHORT,16445.63,16664.85,-211.95,SL,1,0.9333,bear,ACTIVE,pullback,16445.63,,4H_OHLC_APPROX
2022-12-20T08:00:00+00:00,2022-12-20T12:00:00+00:00,2022-12-21T12:00:00+00:00,SHORT,16821.91,16702.47,94.5,TP,6,0.9333,bear,ACTIVE,pullback,16821.91,,4H_OHLC_APPROX
2022-12-21T16:00:00+00:00,2022-12-21T20:00:00+00:00,2022-12-22T12:00:00+00:00,SHORT,16763.55,16631.5,106.16,TRAIL_TP,4,0.9333,bear,ACTIVE,pullback,16763.55,,4H_OHLC_APPROX
2022-12-22T16:00:00+00:00,2022-12-22T20:00:00+00:00,2022-12-23T12:00:00+00:00,SHORT,16674.96,16897.24,-211.95,SL,4,0.9333,neutral,ACTIVE,pullback,16674.96,,4H_OHLC_APPROX
2022-12-23T16:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,16855.34,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2022-12-23T20:00:00+00:00,2022-12-24T00:00:00+00:00,2022-12-25T00:00:00+00:00,SHORT,16793.18,16824.0,-39.53,TIME_EXIT,6,0.9333,bear,ACTIVE,pullback,16793.18,,4H_OHLC_APPROX
2022-12-25T04:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,16833.62,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2022-12-25T08:00:00+00:00,2022-12-25T12:00:00+00:00,2022-12-26T12:00:00+00:00,SHORT,16831.71,16801.2,15.19,TIME_EXIT,6,0.9333,neutral,ACTIVE,pullback,16831.71,,4H_OHLC_APPROX
2022-12-26T16:00:00+00:00,2022-12-26T20:00:00+00:00,2022-12-27T12:00:00+00:00,SHORT,16851.73,16732.09,94.5,TP,4,0.9333,neutral,ACTIVE,pullback,16851.73,,4H_OHLC_APPROX
2022-12-27T16:00:00+00:00,2022-12-27T20:00:00+00:00,2022-12-28T00:00:00+00:00,SHORT,16697.98,16579.43,94.5,TP,1,0.9333,neutral,ACTIVE,pullback,16697.98,,4H_OHLC_APPROX
2022-12-28T04:00:00+00:00,2022-12-28T08:00:00+00:00,2022-12-28T20:00:00+00:00,SHORT,16655.64,16537.38,94.5,TP,3,0.9333,neutral,ACTIVE,pullback,16655.64,,4H_OHLC_APPROX
2022-12-29T00:00:00+00:00,2022-12-29T04:00:00+00:00,2022-12-30T04:00:00+00:00,SHORT,16569.75,16452.11,94.5,TP,6,0.9333,neutral,ACTIVE,pullback,16569.75,,4H_OHLC_APPROX
2022-12-30T08:00:00+00:00,2022-12-30T12:00:00+00:00,2022-12-31T12:00:00+00:00,SHORT,16505.99,16586.0,-84.71,TIME_EXIT,6,0.9333,bear,ACTIVE,pullback,16505.99,,4H_OHLC_APPROX
2022-12-31T16:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,16580.86,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
