entry_time,exit_time,side,entry_price,exit_price,sl,initial_tp,pnl_usd,equity,exit_type,gate,fgi,regime,bcd_conf,notional,leverage,entry_to_sl_pct,entry_to_tp_pct,actual_move_pct
2024-01-01T00:00:00+00:00,2024-01-01T04:00:00+00:00,SHORT,42369.8,42527.0,42934.59,42068.97,-67.65,9932.35,TIME_EXIT,ACTIVE,65.0,bear,1.0,15000.0,15.0,1.333,0.71,-0.371
2024-01-01T04:00:00+00:00,2024-01-01T08:00:00+00:00,SHORT,42527.0,42727.6,43093.88,42225.06,-82.76,9849.59,TIME_EXIT,ACTIVE,65.0,bear,1.0,15000.0,15.0,1.333,0.71,-0.4717
2024-01-01T08:00:00+00:00,2024-01-01T12:00:00+00:00,SHORT,42727.6,42818.0,43297.16,42424.23,-43.74,9805.85,TIME_EXIT,ACTIVE,65.0,bear,1.0,15000.0,15.0,1.333,0.71,-0.2116
2024-01-01T12:00:00+00:00,2024-01-01T16:00:00+00:00,SHORT,42818.0,43388.76,43388.76,42513.99,-211.95,9593.9,SL,ACTIVE,65.0,neutral,1.0,15000.0,15.0,1.333,0.71,-1.333
2024-01-01T16:00:00+00:00,2024-01-01T20:00:00+00:00,SHORT,43556.2,44136.8,44136.8,43246.95,-211.95,9381.95,SL,ACTIVE,65.0,neutral,1.0,15000.0,15.0,1.333,0.71,-1.333
2024-01-01T20:00:00+00:00,2024-01-02T00:00:00+00:00,SHORT,44230.2,44819.79,44819.79,43916.17,-211.95,9170.0,SL,ACTIVE,65.0,neutral,1.0,15000.0,15.0,1.333,0.71,-1.333
2024-01-02T00:00:00+00:00,2024-01-02T04:00:00+00:00,LONG,45435.0,45757.59,44829.35,45757.59,94.5,9264.5,TP,ACTIVE,71.0,bull,1.0,15000.0,15.0,1.333,0.71,0.71
2024-01-02T04:00:00+00:00,2024-01-02T08:00:00+00:00,LONG,45495.5,45818.52,44889.04,45818.52,94.5,9359.0,TP,ACTIVE,71.0,bull,1.0,15000.0,15.0,1.333,0.71,0.71
2024-01-02T08:00:00+00:00,2024-01-02T12:00:00+00:00,LONG,45486.8,44880.46,44880.46,45809.76,-211.95,9147.05,SL,ACTIVE,71.0,bull,1.0,15000.0,15.0,1.333,0.71,-1.333
2024-01-02T12:00:00+00:00,2024-01-02T16:00:00+00:00,LONG,45215.0,45073.2,44612.28,45536.03,-59.04,9088.01,TIME_EXIT,ACTIVE,71.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.3136
2024-01-02T16:00:00+00:00,2024-01-02T20:00:00+00:00,LONG,45073.2,44979.8,44472.37,45393.22,-43.08,9044.93,TIME_EXIT,ACTIVE,71.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.2072
2024-01-02T20:00:00+00:00,2024-01-03T00:00:00+00:00,LONG,44979.8,45299.16,44380.22,45299.16,94.5,9139.43,TP,ACTIVE,71.0,bull,1.0,15000.0,15.0,1.333,0.71,0.71
2024-01-03T00:00:00+00:00,2024-01-03T04:00:00+00:00,LONG,45297.8,45030.4,44693.98,45619.41,-100.55,9038.88,TIME_EXIT,ACTIVE,70.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.5903
2024-01-03T04:00:00+00:00,2024-01-03T08:00:00+00:00,LONG,45030.4,44430.14,44430.14,45350.12,-211.95,8826.93,SL,ACTIVE,70.0,bull,1.0,15000.0,15.0,1.333,0.71,-1.333
2024-01-03T08:00:00+00:00,2024-01-03T12:00:00+00:00,SHORT,43728.9,43014.0,44311.81,43418.42,233.23,9060.16,TRAIL_TP,ADVISORY,70.0,neutral,1.0,15000.0,15.0,1.333,0.71,1.6348
2024-01-04T16:00:00+00:00,2024-01-04T20:00:00+00:00,LONG,43950.0,44262.05,43364.15,44262.05,94.5,9154.66,TP,ADVISORY,68.0,bull,1.0,15000.0,15.0,1.333,0.71,0.71
2024-01-04T20:00:00+00:00,2024-01-05T00:00:00+00:00,LONG,44143.8,43555.36,43555.36,44457.22,-211.95,8942.71,SL,ADVISORY,68.0,bull,1.0,15000.0,15.0,1.333,0.71,-1.333
