Market,Side,Date,Trade Value,Size,Price,Closed PnL,Fee,Role,Type
BTC,Open Long,2026-04-05 00:01:01,494.952640,0.007360,67249.000000,-,0.0000,Taker,trade
BTC,Close Long,2026-04-04 16:25:05,495.148185,0.007350,67367.100000,0.088935,0.0000,Taker,trade
BTC,Open Long,2026-04-04 16:00:45,477.546950,0.007090,67355.000000,-,0.0000,Taker,trade
BTC,Open Long,2026-04-04 16:00:45,17.512300,0.000260,67355.000000,-,0.0000,Taker,trade
BTC,Close Short,2026-04-04 04:12:49,561.100680,0.008400,66797.700000,0.088412,0.0000,Taker,trade
BTC,Close Short,2026-04-04 04:12:49,13.358820,0.000200,66794.100000,0.002825,0.0000,Taker,trade
BTC,Close Short,2026-04-04 04:12:49,7.347340,0.000110,66794.000000,0.001565,0.0000,Taker,trade
BTC,Open Short,2026-04-04 00:00:33,13.378400,0.000200,66892.000000,-,0.0000,Taker,trade
BTC,Open Short,2026-04-04 00:00:33,13.378420,0.000200,66892.100000,-,0.0000,Taker,trade
BTC,Open Short,2026-04-04 00:00:33,13.378440,0.000200,66892.200000,-,0.0000,Taker,trade
BTC,Open Short,2026-04-04 00:00:33,13.378840,0.000200,66894.200000,-,0.0000,Taker,trade
BTC,Open Short,2026-04-04 00:00:33,13.378860,0.000200,66894.300000,-,0.0000,Taker,trade
BTC,Open Short,2026-04-04 00:00:33,13.378880,0.000200,66894.400000,-,0.0000,Taker,trade
BTC,Open Short,2026-04-04 00:00:33,6.689450,0.000100,66894.500000,-,0.0000,Taker,trade
BTC,Open Short,2026-04-03 16:00:50,494.938353,0.007410,66793.300000,-,0.0000,Taker,trade
BTC,Close Short,2026-04-03 13:48:05,478.195396,0.007190,66508.400000,3.597157,0.0000,Taker,trade
BTC,Close Short,2026-04-03 13:48:05,13.301680,0.000200,66508.400000,0.100060,0.0000,Taker,trade
BTC,Open Short,2026-04-03 08:00:56,495.194293,0.007390,67008.700000,-,0.0000,Taker,trade
BTC,Close Short,2026-04-03 02:29:49,492.151452,0.007410,66417.200000,2.657226,0.0000,Taker,trade
BTC,Open Short,2026-04-02 16:00:18,494.808678,0.007410,66775.800000,-,0.0000,Taker,trade
BTC,Close Short,2026-04-02 09:02:11,384.264930,0.005790,66367.000000,2.761251,0.0000,Taker,trade
BTC,Close Short,2026-04-02 09:02:11,13.935747,0.000210,66360.700000,0.101472,0.0000,Taker,trade
BTC,Close Short,2026-04-02 09:02:11,13.272080,0.000200,66360.400000,0.096700,0.0000,Taker,trade
BTC,Close Short,2026-04-02 09:02:11,13.272060,0.000200,66360.300000,0.096720,0.0000,Taker,trade
BTC,Close Short,2026-04-02 09:02:11,13.272040,0.000200,66360.200000,0.096740,0.0000,Taker,trade
BTC,Close Short,2026-04-02 09:02:11,13.272020,0.000200,66360.100000,0.096760,0.0000,Taker,trade
BTC,Close Short,2026-04-02 09:02:11,13.272000,0.000200,66360.000000,0.096780,0.0000,Taker,trade
BTC,Close Short,2026-04-02 09:02:11,13.271980,0.000200,66359.900000,0.096800,0.0000,Taker,trade
BTC,Close Short,2026-04-02 09:02:11,13.271960,0.000200,66359.800000,0.096820,0.0000,Taker,trade
BTC,Open Short,2026-04-02 08:00:46,494.644860,0.007400,66843.900000,-,0.0000,Taker,trade
