date,pnl,n_trades
2023-01-24,-396.31359743999997,2
2023-01-25,-192.22738703364098,1
2023-01-29,263.3702690904896,1
2023-01-30,-569.4033551782813,3
2023-01-31,-182.2542054036424,1
2023-02-01,506.3998488048966,2
2023-02-03,-188.7423046019619,1
2023-02-05,-184.96443863304904,1
2023-02-08,253.41932139166,1
2023-02-09,803.6074504401813,3
2023-02-13,282.9991585746024,1
2023-02-14,-412.00328656933175,2
2023-02-15,-959.9806348249433,5
2023-02-16,-168.68594831583087,3
2023-02-19,-177.24610134026787,1
2023-02-20,-173.69834337584106,1
2023-02-21,-170.22159733483022,1
2023-02-24,233.22019087343432,1
2023-03-01,-171.48257718309893,1
2023-03-02,234.9478562549441,1
2023-03-03,-172.75289820900102,1
2023-03-08,184.4025795464404,1
2023-03-09,746.0389951133881,3
2023-03-10,69.5482826768662,2
2023-03-12,-374.83249992817287,2
2023-03-22,-181.8082258643386,1
2023-03-29,-178.169152415438,1
2023-03-31,-174.60291866069056,1
2023-04-02,-171.1080666407782,1
2023-04-03,-106.86621612006181,3
2023-04-10,469.3651265679662,2
2023-04-11,244.5789097941395,1
2023-04-12,-179.8344372288612,1
2023-04-13,246.3907191144057,1
2023-04-16,-181.16662776708225,1
2023-04-17,-689.1227903042471,4
2023-04-18,464.26949600282205,2
2023-04-19,-671.6534713414669,4
2023-04-20,-159.59591712458817,1
2023-04-21,443.44298186578385,2
2023-04-23,-165.27739997244794,1
2023-04-25,-320.69643941118625,2
2023-04-26,-252.69960418732242,4
2023-04-30,-150.49211232593166,1
2023-05-03,-292.007767489324,2
2023-05-05,-141.6350347315495,1
2023-05-08,194.05381192306803,1
2023-05-10,404.5507938307122,2
2023-05-11,210.80516321048214,1
2023-05-12,216.70433489776426,1
2023-05-14,-159.3387677792651,1
2023-05-15,-156.14944300339533,1
2023-05-18,213.93996691500155,1
2023-05-24,446.0081592310688,2
2023-05-26,-166.2334774451791,1
2023-05-27,-322.55156685968944,2
2023-05-28,-309.7684096774823,2
2023-05-29,-150.24963151026833,1
2023-05-31,-291.5372691984403,2
2023-06-05,400.92892999262256,2
2023-06-06,-95.234442595194,3
2023-06-07,206.25282532672836,1
2023-06-10,212.02460439067195,1
2023-06-11,-155.89784679865323,1
2023-06-14,433.16776078226553,2
2023-06-15,-161.44768139694924,1
2023-06-16,-313.2654348617799,2
2023-06-19,56.234774756203024,2
2023-06-20,660.1528210524212,3
2023-06-21,717.1393429827928,3
2023-06-23,321.27347418781005,3
2023-06-28,-187.06990872810672,1
2023-06-30,-116.8352473858985,3
2023-07-06,253.0345032155893,1
2023-07-10,-186.051681739692,1
2023-07-12,254.90895049176962,1
2023-07-13,333.3508532164294,3
2023-07-14,-384.31940779137483,2
2023-07-24,469.3425353893682,2
2023-08-01,-318.0943248523628,4
2023-08-02,-375.08247932702216,2
2023-08-07,67.33165039181529,2
2023-08-08,-116.80444515618814,3
2023-08-09,-358.2567765282936,2
2023-08-16,492.6831703919371,2
2023-08-17,1070.834061381173,4
2023-08-18,223.36313632922156,1
2023-08-23,-414.87507202472966,2
2023-08-24,-398.4330087964997,2
2023-08-29,-382.64256689100125,2
2023-08-31,-545.718893291941,3
2023-09-01,64.64615784441665,2
