Direction,Open_Time,Close_Time,Entry_Price,Exit_Price,Open_Size,Close_Size,PnL,PnL_Pct,Price_Move_Pct,Hold_Time_Min,Close_Ratio,Exit_Type,Period
Long,2026-03-10 16:05:00,2026-03-10 18:14:55,71198.2,70339.9,0.00014,0.00014,-0.120162,-1.2055080044158424,-1.2055080044158462,129.91666666666666,1.0,Full_Manual,Testing
Long,2026-03-11 04:08:47,2026-03-11 04:48:28,69498.0,70008.8,0.00101,0.00101,0.515908,0.7349851794296238,0.734985179429628,39.68333333333333,1.0,TP_Hit,5usd_15x
Long,2026-03-11 08:06:36,2026-03-11 13:14:04,69669.0,69785.8,0.00108,0.00108,0.170964,0.2272172702349682,0.16764988732435215,307.46666666666664,1.0,Full_Manual,5usd_15x
Long,2026-03-11 08:08:33,2026-03-11 13:14:04,69586.0,69785.8,0.00108,0.00108,0.170964,0.2274882878739977,0.28712672089213764,305.51666666666665,1.0,Full_Manual,5usd_15x
Long,2026-03-11 20:01:41,2026-03-12 02:18:30,70496.4,69656.1,0.00106,0.00106,-0.890718,-1.1919757604643644,-1.1919757604643477,376.81666666666666,1.0,Full_Manual,5usd_15x
Long,2026-03-12 08:05:17,2026-03-12 09:45:08,69846.1,70315.1,0.00214,0.00214,1.00366,0.6714762885830418,0.6714762885830418,99.85,1.0,TP_Hit,5usd_15x
Long,2026-03-12 12:15:20,2026-03-12 13:46:02,70309.2,69832.54000000001,0.00213,0.00213,-1.026735,-0.6855933665403755,-0.6779482628162302,90.7,1.0,Full_Manual,5usd_15x
Long,2026-03-12 20:09:09,2026-03-13 00:13:17,70400.8,70941.025,0.00106,0.00106,0.572084,0.7666132867701118,0.767356336859796,244.13333333333333,1.0,Near_TP,5usd_15x
Long,2026-03-13 04:03:27,2026-03-13 05:33:45,71346.09999999999,71507.4,0.0006000000000000001,0.0006000000000000001,0.09591028037383179,0.22404934157539044,0.22608103316089168,90.3,1.0,Full_Manual,5usd_15x
Long,2026-03-13 04:03:28,2026-03-13 05:33:45,71349.4,71507.4,0.00047000000000000004,0.00046999999999999993,0.07512971962616821,0.2240389790099421,0.2214454501369318,90.28333333333333,0.9999999999999998,Full_Manual,5usd_15x
Long,2026-03-13 08:02:32,2026-03-13 08:37:23,71519.8,72069.5,0.00105,0.00105,0.57615,0.7672201064800038,0.7685983461922391,34.85,1.0,TP_Hit,5usd_15x
Long,2026-03-13 14:13:13,2026-03-13 14:23:18,73499.5,73752.76666666666,0.00204,0.00204,0.51556,0.3438465434405383,0.34458284296718045,10.083333333333334,1.0,Near_TP,5usd_15x
Long,2026-03-13 16:02:02,2026-03-13 16:18:48,71890.7,71409.4,0.00208,0.00208,-1.001104,-0.6694885430243412,-0.6694885430243452,16.766666666666666,1.0,Full_Manual,5usd_15x
Long,2026-03-16 08:14:02,2026-03-16 13:32:15,73544.9,74016.9,0.00204,0.00204,0.96288,0.6417848144466849,0.641784814446685,318.21666666666664,1.0,Near_TP,10usd_15x
Long,2026-03-16 16:01:31,2026-03-16 16:32:11,73171.9,73476.0,0.002,0.002,0.502148717948718,0.3431294786309485,0.4155966976394023,30.666666666666668,1.0,Near_TP,10usd_15x
Long,2026-03-16 16:01:32,2026-03-16 16:32:11,73171.9,73476.0,5e-05,5e-05,0.012553717948717949,0.34312947863094845,0.4155966976394023,30.65,1.0,Near_TP,10usd_15x
