entry_time,exit_time,side,entry,exit,exit_type,size_usd,net_pnl,equity
2022-11-28 00:00:00,2022-11-29 00:00:00,LONG,16168.9,16515.09981979643,TP,12454.387380103224,256.70315676258275,10256.703156762584
2022-11-29 00:00:00,2022-11-29 20:00:00,LONG,16279.1,16635.881949165498,TP,12479.696856846127,263.52832669485804,10520.23148345744
2022-11-29 20:00:00,2022-11-30 00:00:00,LONG,16433.2,16777.90460606352,TP,13374.239080680902,269.8401149609894,10790.07159841843
2022-11-30 00:00:00,2022-12-01 08:00:00,LONG,16836.7,17251.168562773266,TP,11688.49074361751,278.3844500295974,11068.456048448028
2022-12-01 08:00:00,2022-12-02 08:00:00,LONG,17096.9,16812.118436785757,SL,13289.925378515263,-232.00106127177403,10836.454987176254
2022-12-02 08:00:00,2022-12-05 00:00:00,LONG,16987.1,17353.420886184147,TP,13400.269287048011,278.25191756172984,11114.706904737983
2022-12-05 00:00:00,2022-12-05 12:00:00,LONG,17190.1,16949.624162416545,SL,15890.40504718737,-235.00646213250852,10879.700442605474
2022-12-05 12:00:00,2022-12-07 00:00:00,LONG,17073.8,16816.574192721993,SL,14443.172042701986,-229.14854648627045,10650.551896119203
2022-12-07 00:00:00,2022-12-07 04:00:00,LONG,17017.4,16792.249472605992,SL,16099.869179506093,-225.8909332659867,10424.660962853217
2022-12-07 04:00:00,2022-12-08 12:00:00,LONG,16755.4,17079.5149386783,TP,7185.490637334643,133.24708699484273,10557.90804984806
2022-12-08 12:00:00,2022-12-08 16:00:00,LONG,16907.7,17189.499131010034,TP,16892.40524337025,268.03029046791784,10825.938340315977
2022-12-08 16:00:00,2022-12-11 20:00:00,LONG,17241.9,17003.4434623323,SL,15655.661874115647,-229.04329630561162,10596.895044010365
2022-12-11 20:00:00,2022-12-12 00:00:00,LONG,17077.3,16923.78365757218,SL,23576.16822719291,-230.7988354619633,10366.096208548403
2022-12-12 00:00:00,2022-12-12 16:00:00,LONG,16909.0,17129.582138243964,TP,21190.028915999246,259.4772090951614,10625.573417643564
2022-12-12 16:00:00,2022-12-13 04:00:00,LONG,17035.7,17244.95901318164,TP,23067.30825353783,264.8947778676673,10890.46819551123
2022-12-13 04:00:00,2022-12-13 08:00:00,LONG,17157.0,17382.05315304667,TP,22139.689852632404,272.70073333152453,11163.168928842755
2022-12-13 08:00:00,2022-12-13 12:00:00,LONG,17436.8,17698.092213543336,TP,19865.364919868294,281.79221283324523,11444.961141676
2022-12-13 12:00:00,2022-12-14 08:00:00,SHORT,17749.6,18007.61064871768,SL,15746.906826514332,-241.49674829473022,11203.46439338127
2022-12-14 08:00:00,2022-12-14 12:00:00,SHORT,17823.8,18056.341417349046,SL,17174.429478514317,-237.8088314504345,10965.655561930835
2022-12-14 12:00:00,2022-12-14 16:00:00,SHORT,18054.8,17724.391578520226,TP,15978.827428418026,279.6344197087542,11245.28998163959
2022-12-14 16:00:00,2022-12-15 08:00:00,SHORT,17789.5,17383.306465768783,TP,13133.186967603076,289.36784993630596,11534.657831575896
2022-12-15 08:00:00,2022-12-15 12:00:00,SHORT,17712.1,17317.262933903115,TP,13798.300144294653,296.5522353932567,11831.210066969154
2022-12-15 12:00:00,2022-12-16 04:00:00,SHORT,17424.0,17005.99415291004,TP,13151.14007085517,304.97802306249287,12136.188090031646
2022-12-16 04:00:00,2022-12-16 08:00:00,SHORT,17496.6,17110.12286550561,TP,14651.459527360044,311.9105147789555,12448.098604810602
2022-12-16 08:00:00,2022-12-16 16:00:00,SHORT,17018.6,16573.94266082664,TP,12704.866856782672,321.78540264285516,12769.884007453458
2022-12-16 16:00:00,2022-12-19 16:00:00,SHORT,16856.5,16407.23015142705,TP,12776.615239467477,330.3089480071849,13100.192955460643
2022-12-19 16:00:00,2022-12-19 20:00:00,SHORT,16549.3,16773.02641852643,SL,19380.726219616405,-277.50844008490486,12822.684515375739
2022-12-19 20:00:00,2022-12-20 00:00:00,SHORT,16429.2,16683.242388631686,SL,16585.141524978917,-269.7218035274966,12552.962711848242
