Market,Side,Date,Trade Value,Size,Price,Closed PnL,Fee,Role,Type
BTC,Close Short,2026-04-02 09:02:11,384.264930,0.005790,66367.000000,2.761251,0.0000,Taker,trade
BTC,Close Short,2026-04-02 09:02:11,13.935747,0.000210,66360.700000,0.101472,0.0000,Taker,trade
BTC,Close Short,2026-04-02 09:02:11,13.272080,0.000200,66360.400000,0.096700,0.0000,Taker,trade
BTC,Close Short,2026-04-02 09:02:11,13.272060,0.000200,66360.300000,0.096720,0.0000,Taker,trade
BTC,Close Short,2026-04-02 09:02:11,13.272040,0.000200,66360.200000,0.096740,0.0000,Taker,trade
BTC,Close Short,2026-04-02 09:02:11,13.272020,0.000200,66360.100000,0.096760,0.0000,Taker,trade
BTC,Close Short,2026-04-02 09:02:11,13.272000,0.000200,66360.000000,0.096780,0.0000,Taker,trade
BTC,Close Short,2026-04-02 09:02:11,13.271980,0.000200,66359.900000,0.096800,0.0000,Taker,trade
BTC,Close Short,2026-04-02 09:02:11,13.271960,0.000200,66359.800000,0.096820,0.0000,Taker,trade
BTC,Open Short,2026-04-02 08:00:46,494.644860,0.007400,66843.900000,-,0.0000,Taker,trade
BTC,Close Short,2026-03-31 01:21:35,141.628410,0.002100,67442.100000,-1.914990,0.0000,Taker,trade
BTC,Open Short,2026-03-30 20:00:22,139.713420,0.002100,66530.200000,-,0.0000,Taker,trade
BTC,Close Short,2026-03-29 22:41:23,139.038239,0.002110,65894.900000,1.234983,0.0000,Taker,trade
BTC,Open Short,2026-03-29 16:00:45,140.273222,0.002110,66480.200000,-,0.0000,Taker,trade
BTC,Close Short,2026-03-29 13:08:37,139.065465,0.002090,66538.500000,0.510378,0.0000,Taker,trade
BTC,Open Short,2026-03-29 12:14:03,139.575843,0.002090,66782.700000,-,0.0000,Taker,trade
BTC,Close Short,2026-03-29 10:34:43,89.626500,0.001350,66390.000000,0.355590,0.0000,Taker,trade
BTC,Close Short,2026-03-29 10:34:43,49.792125,0.000750,66389.500000,0.197925,0.0000,Taker,trade
BTC,Open Short,2026-03-29 08:01:06,139.972140,0.002100,66653.400000,-,0.0000,Taker,trade
BTC,Close Short,2026-03-29 02:29:52,556.934004,0.008360,66618.900000,0.839109,0.0000,Taker,trade
BTC,Open Short,2026-03-29 02:25:49,229.179680,0.003440,66622.000000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-29 02:25:49,13.324420,0.000200,66622.100000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-29 02:25:49,13.324440,0.000200,66622.200000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-29 02:25:49,13.324460,0.000200,66622.300000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-29 02:25:49,9.327136,0.000140,66622.400000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-29 02:23:23,113.949441,0.001710,66637.100000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-29 02:23:23,13.327800,0.000200,66639.000000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-29 02:23:23,11.995038,0.000180,66639.100000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-28 16:00:50,99.821358,0.001490,66994.200000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-28 16:00:50,13.399760,0.000200,66998.800000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-28 16:00:50,13.399780,0.000200,66998.900000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-28 16:00:50,13.399800,0.000200,66999.000000,-,0.0000,Taker,trade
BTC,Close Short,2026-03-28 13:05:54,113.558193,0.001710,66408.300000,0.087081,0.0000,Taker,trade
BTC,Close Short,2026-03-28 13:05:54,13.281480,0.000200,66407.400000,0.010365,0.0000,Taker,trade
BTC,Close Short,2026-03-28 13:05:54,13.281460,0.000200,66407.300000,0.010385,0.0000,Taker,trade
BTC,Open Short,2026-03-28 08:00:52,77.089424,0.001160,66456.400000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-28 08:00:52,13.957041,0.000210,66462.100000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-28 08:00:52,13.292540,0.000200,66462.700000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-28 08:00:52,13.292560,0.000200,66462.800000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-28 08:00:52,13.292580,0.000200,66462.900000,-,0.0000,Taker,trade
