timestamp,open,high,low,close,volume,close_time,quote_volume,num_trades,taker_buy_base_vol,taker_buy_quote_vol
2022-01-01 00:00:00+00:00,109.43,114.5,108.42,114.13,1211127.98,2022-01-01 23:59:59.999000+00:00,134625293.1149,330579,627028.08,69682559.1612
2022-01-02 00:00:00+00:00,114.12,117.53,112.0,113.03,1157325.57,2022-01-02 23:59:59.999000+00:00,133181297.4319,349691,571906.88,65798375.3
2022-01-03 00:00:00+00:00,113.02,114.13,106.01,108.11,1518111.91,2022-01-03 23:59:59.999000+00:00,167515698.0232,345835,749520.19,82747432.9174
2022-01-04 00:00:00+00:00,108.11,109.28,102.78,103.33,1646729.79,2022-01-04 23:59:59.999000+00:00,174879133.658,328774,819205.64,87024270.3773
2022-01-05 00:00:00+00:00,103.33,106.66,90.4,97.42,2277529.75,2022-01-05 23:59:59.999000+00:00,229006153.2146,432956,1105592.65,111345657.2838
2022-01-06 00:00:00+00:00,97.42,97.97,91.04,95.11,1633034.05,2022-01-06 23:59:59.999000+00:00,154100385.5946,335865,829152.97,78263146.3338
2022-01-07 00:00:00+00:00,95.1,95.54,85.0,86.74,2602084.56,2022-01-07 23:59:59.999000+00:00,231122016.7206,485254,1326211.24,117787846.2944
2022-01-08 00:00:00+00:00,86.74,89.64,79.18,83.9,2469062.48,2022-01-08 23:59:59.999000+00:00,208857798.7483,365452,1243591.56,105218687.7142
2022-01-09 00:00:00+00:00,83.87,91.88,82.46,89.33,1808479.57,2022-01-09 23:59:59.999000+00:00,157649981.2527,309607,904359.36,78809391.8535
2022-01-10 00:00:00+00:00,89.32,92.4,80.1,84.36,2836094.17,2022-01-10 23:59:59.999000+00:00,241549190.7815,437854,1396821.62,118895540.559
2022-01-11 00:00:00+00:00,84.42,91.0,83.21,89.59,1431317.89,2022-01-11 23:59:59.999000+00:00,124662083.4588,253209,724299.27,63136233.7584
2022-01-12 00:00:00+00:00,89.57,96.89,88.8,95.94,1757081.56,2022-01-12 23:59:59.999000+00:00,164578221.1237,339803,915368.4,85751313.1638
2022-01-13 00:00:00+00:00,95.95,97.26,89.08,89.65,1429888.43,2022-01-13 23:59:59.999000+00:00,133587226.4839,298322,681431.43,63752563.8082
2022-01-14 00:00:00+00:00,89.65,91.77,87.23,90.39,1200068.6,2022-01-14 23:59:59.999000+00:00,107669260.0278,208567,621130.77,55749088.8861
2022-01-15 00:00:00+00:00,90.4,94.44,89.47,92.98,914689.68,2022-01-15 23:59:59.999000+00:00,83986168.0084,176610,484602.03,44514246.8367
2022-01-16 00:00:00+00:00,92.98,94.9,91.8,92.24,967418.87,2022-01-16 23:59:59.999000+00:00,90134788.7386,179015,507799.57,47338244.6609
2022-01-17 00:00:00+00:00,92.25,92.5,85.34,86.67,1328305.0,2022-01-17 23:59:59.999000+00:00,117439344.8544,236491,667711.18,59054225.3738
2022-01-18 00:00:00+00:00,86.67,87.41,83.7,86.0,1041520.48,2022-01-18 23:59:59.999000+00:00,89047242.5278,172814,530115.81,45340415.3168
2022-01-19 00:00:00+00:00,86.03,86.38,81.08,82.61,1139560.79,2022-01-19 23:59:59.999000+00:00,95386563.9079,184307,593158.35,49644303.2181
2022-01-20 00:00:00+00:00,82.58,87.8,78.68,79.33,1225812.76,2022-01-20 23:59:59.999000+00:00,103096137.4818,215550,607308.3,51159732.2755
2022-01-21 00:00:00+00:00,79.32,80.38,63.93,66.06,3392205.59,2022-01-21 23:59:59.999000+00:00,245692803.7336,462923,1711162.63,124076163.0058
2022-01-22 00:00:00+00:00,66.03,67.54,52.95,59.78,5109157.94,2022-01-22 23:59:59.999000+00:00,304793609.7359,571890,2547684.77,152210697.8359
2022-01-23 00:00:00+00:00,59.81,66.88,59.02,64.83,2926022.98,2022-01-23 23:59:59.999000+00:00,184024003.363,346910,1527924.27,96088013.0908
2022-01-24 00:00:00+00:00,64.8,64.83,55.14,63.06,3701249.83,2022-01-24 23:59:59.999000+00:00,219436865.3757,442835,1855845.5,109967550.9559
2022-01-25 00:00:00+00:00,63.0,70.53,61.65,68.01,2702688.81,2022-01-25 23:59:59.999000+00:00,177636701.6966,347292,1421002.13,93412699.6945
2022-01-26 00:00:00+00:00,68.01,73.5,64.39,65.87,3400732.97,2022-01-26 23:59:59.999000+00:00,234514414.3631,446906,1725739.0,119073062.028
2022-01-27 00:00:00+00:00,65.87,67.96,61.06,64.7,2519156.06,2022-01-27 23:59:59.999000+00:00,161461952.3826,316293,1271800.12,81481603.5503
2022-01-28 00:00:00+00:00,64.68,67.5,61.71,67.01,1790400.08,2022-01-28 23:59:59.999000+00:00,115890537.6702,245292,926339.91,59996485.3496
2022-01-29 00:00:00+00:00,67.02,73.58,66.86,71.89,1662626.47,2022-01-29 23:59:59.999000+00:00,117157264.5093,240922,879790.44,62003908.128
2022-01-30 00:00:00+00:00,71.91,72.39,66.85,67.96,1307594.65,2022-01-30 23:59:59.999000+00:00,91110546.7317,162101,661090.22,46080589.6339
2022-01-31 00:00:00+00:00,67.94,70.65,64.25,69.87,1747136.27,2022-01-31 23:59:59.999000+00:00,117666155.9848,204907,887073.89,59729749.8583
2022-02-01 00:00:00+00:00,69.9,73.87,68.47,73.33,1951093.27,2022-02-01 23:59:59.999000+00:00,138231722.0467,249796,987134.13,70003991.6427
2022-02-02 00:00:00+00:00,73.32,74.86,67.43,67.79,2238866.41,2022-02-02 23:59:59.999000+00:00,159980250.017,270539,1135224.95,81050864.4376
2022-02-03 00:00:00+00:00,67.79,69.31,64.85,68.44,1792227.65,2022-02-03 23:59:59.999000+00:00,120496574.823,207929,881416.28,59239870.7227
2022-02-04 00:00:00+00:00,68.44,77.95,67.43,77.77,2263149.96,2022-02-04 23:59:59.999000+00:00,165117581.125,314829,1131464.78,82438184.1522
2022-02-05 00:00:00+00:00,77.8,80.93,74.94,77.01,1700729.64,2022-02-05 23:59:59.999000+00:00,132702633.5855,265512,845414.47,65999176.5168
2022-02-06 00:00:00+00:00,77.01,79.15,74.1,78.93,1113858.87,2022-02-06 23:59:59.999000+00:00,85466391.7368,178658,604990.69,46392510.6247
2022-02-07 00:00:00+00:00,78.91,85.42,77.44,83.2,1879396.49,2022-02-07 23:59:59.999000+00:00,155038987.1721,343928,980086.66,80892337.15
2022-02-08 00:00:00+00:00,83.23,95.5,81.65,86.34,5245827.4,2022-02-08 23:59:59.999000+00:00,460480912.0435,814942,2643485.48,232094615.7838
2022-02-09 00:00:00+00:00,86.35,92.03,84.34,90.05,1774621.17,2022-02-09 23:59:59.999000+00:00,157888513.4879,337877,877372.6,78083865.2008
2022-02-10 00:00:00+00:00,90.05,95.0,84.93,91.16,2654551.53,2022-02-10 23:59:59.999000+00:00,240120281.4114,527009,1329363.54,120283972.5222
2022-02-11 00:00:00+00:00,91.18,92.66,80.0,81.75,2422691.49,2022-02-11 23:59:59.999000+00:00,211677357.3397,400391,1186574.46,103828757.0261
2022-02-12 00:00:00+00:00,81.76,84.8,78.65,81.31,2173440.39,2022-02-12 23:59:59.999000+00:00,177934028.1932,312675,1056802.94,86540947.1729
2022-02-13 00:00:00+00:00,81.29,83.28,77.49,77.91,1168439.44,2022-02-13 23:59:59.999000+00:00,94204752.1317,187215,560543.98,45245487.2587
2022-02-14 00:00:00+00:00,77.93,82.6,76.14,81.86,1524047.88,2022-02-14 23:59:59.999000+00:00,121572615.579,224407,781993.12,62452359.2737
2022-02-15 00:00:00+00:00,81.84,93.68,81.41,92.97,2301376.54,2022-02-15 23:59:59.999000+00:00,201963674.8756,385670,1167095.83,102621476.0663
2022-02-16 00:00:00+00:00,92.96,97.35,91.44,95.32,2885648.71,2022-02-16 23:59:59.999000+00:00,271746583.1222,580477,1464324.01,137995792.5311
2022-02-17 00:00:00+00:00,95.33,98.77,86.32,88.24,3177570.87,2022-02-17 23:59:59.999000+00:00,292577748.9156,611534,1521413.3,140133868.5164
2022-02-18 00:00:00+00:00,88.24,89.99,82.35,83.67,2364097.49,2022-02-18 23:59:59.999000+00:00,203097006.8269,373313,1186671.34,101981214.0568
2022-02-19 00:00:00+00:00,83.69,86.34,80.82,85.01,1584310.2,2022-02-19 23:59:59.999000+00:00,133206597.1289,268613,754588.17,63429238.5372
2022-02-20 00:00:00+00:00,85.01,85.73,76.56,77.37,1851608.12,2022-02-20 23:59:59.999000+00:00,147802271.9346,281004,890827.91,71036631.5724
2022-02-21 00:00:00+00:00,77.34,82.7,69.38,70.04,3597142.77,2022-02-21 23:59:59.999000+00:00,276892269.4802,444515,1790565.54,138008471.9413
2022-02-22 00:00:00+00:00,70.03,74.94,67.2,74.42,3024268.59,2022-02-22 23:59:59.999000+00:00,215588321.2794,314877,1530453.98,109036899.6913
2022-02-23 00:00:00+00:00,74.42,82.5,73.28,73.47,3483406.5,2022-02-23 23:59:59.999000+00:00,271858501.4036,434724,1729571.39,135001394.5617
2022-02-24 00:00:00+00:00,73.46,79.98,64.45,76.39,7820713.29,2022-02-24 23:59:59.999000+00:00,549303006.4641,823813,3925170.98,275835746.8823
2022-02-25 00:00:00+00:00,76.39,81.99,72.68,80.98,3877124.6,2022-02-25 23:59:59.999000+00:00,297496792.4161,478279,1977043.26,151763930.0076
2022-02-26 00:00:00+00:00,80.98,84.95,78.02,81.81,2805070.69,2022-02-26 23:59:59.999000+00:00,228083868.7707,390264,1391497.18,113195903.6423
2022-02-27 00:00:00+00:00,81.81,83.07,73.02,75.07,3334479.25,2022-02-27 23:59:59.999000+00:00,260467180.0454,476284,1642491.84,128367284.4518
2022-02-28 00:00:00+00:00,75.06,85.88,71.76,84.54,3896436.49,2022-02-28 23:59:59.999000+00:00,306286202.7246,480872,1992861.54,156832815.7576
2022-03-01 00:00:00+00:00,84.54,90.8,83.48,86.89,4517499.99,2022-03-01 23:59:59.999000+00:00,393520657.331,644503,2277969.95,198601613.4697
2022-03-02 00:00:00+00:00,86.89,89.94,82.29,83.36,3048063.73,2022-03-02 23:59:59.999000+00:00,260108758.0945,398704,1523977.59,130101585.6057
2022-03-03 00:00:00+00:00,83.35,84.33,77.02,78.5,2971518.96,2022-03-03 23:59:59.999000+00:00,238658273.6765,344792,1475495.96,118435485.0659
2022-03-04 00:00:00+00:00,78.5,82.24,74.92,75.79,3853710.64,2022-03-04 23:59:59.999000+00:00,302363088.1441,467766,1835199.65,144108264.1744
2022-03-05 00:00:00+00:00,75.78,78.74,73.27,76.68,1992002.84,2022-03-05 23:59:59.999000+00:00,151948773.5178,263839,978628.14,74677550.7802
2022-03-06 00:00:00+00:00,76.69,77.1,72.09,72.51,1936414.77,2022-03-06 23:59:59.999000+00:00,144793634.1433,206729,905669.09,67769764.6383
2022-03-07 00:00:00+00:00,72.51,76.53,70.35,71.69,2451038.1,2022-03-07 23:59:59.999000+00:00,178997962.3482,277344,1190390.6,86983515.5631
2022-03-08 00:00:00+00:00,71.67,76.62,71.19,73.0,3043774.1,2022-03-08 23:59:59.999000+00:00,222357599.3989,304966,1489249.14,108830546.8893
2022-03-09 00:00:00+00:00,73.02,80.44,72.34,77.63,3319070.88,2022-03-09 23:59:59.999000+00:00,258132353.5327,337710,1678171.9,130592246.0834
2022-03-10 00:00:00+00:00,77.6,79.0,71.5,73.93,2525259.61,2022-03-10 23:59:59.999000+00:00,186714442.8532,284461,1241056.42,91706734.6593
2022-03-11 00:00:00+00:00,73.93,76.97,70.79,71.22,3182516.66,2022-03-11 23:59:59.999000+00:00,235440597.1521,345943,1592097.65,117792880.3838
2022-03-12 00:00:00+00:00,71.23,73.62,70.67,70.94,1178080.64,2022-03-12 23:59:59.999000+00:00,84879095.2408,131599,591968.66,42643962.5187
2022-03-13 00:00:00+00:00,70.93,71.99,67.21,67.94,1213188.75,2022-03-13 23:59:59.999000+00:00,85166976.6884,149309,586840.58,41212345.4818
2022-03-14 00:00:00+00:00,67.92,71.5,65.55,68.97,2929390.22,2022-03-14 23:59:59.999000+00:00,198926453.3651,295785,1477179.27,100218140.1666
2022-03-15 00:00:00+00:00,68.97,72.24,66.04,69.82,2272701.89,2022-03-15 23:59:59.999000+00:00,157179065.5529,246523,1095524.0,75725585.4401
2022-03-16 00:00:00+00:00,69.82,74.72,68.07,74.08,2655390.64,2022-03-16 23:59:59.999000+00:00,189099000.2561,312483,1322987.42,94329992.9752
2022-03-17 00:00:00+00:00,74.07,81.73,73.16,79.4,3601064.66,2022-03-17 23:59:59.999000+00:00,282934334.3608,439260,1869326.38,146900048.107
2022-03-18 00:00:00+00:00,79.4,86.95,76.48,85.71,3592188.77,2022-03-18 23:59:59.999000+00:00,293299235.7741,480240,1820121.99,148734170.4281
2022-03-19 00:00:00+00:00,85.72,92.39,85.58,89.53,3285297.07,2022-03-19 23:59:59.999000+00:00,292078254.5407,450713,1686056.42,149943499.5988
2022-03-20 00:00:00+00:00,89.54,89.98,84.26,84.84,2817986.41,2022-03-20 23:59:59.999000+00:00,245565144.812,322188,1346435.35,117369528.3034
2022-03-21 00:00:00+00:00,84.87,92.5,83.02,86.25,4199445.72,2022-03-21 23:59:59.999000+00:00,368983120.2509,522479,2100496.06,184562453.6571
2022-03-22 00:00:00+00:00,86.24,89.89,83.7,83.98,3258174.08,2022-03-22 23:59:59.999000+00:00,283815485.5093,405427,1594676.33,139068857.51
2022-03-23 00:00:00+00:00,83.97,87.3,82.21,86.0,2633332.52,2022-03-23 23:59:59.999000+00:00,223267532.1525,295059,1289059.38,109292655.1473
2022-03-24 00:00:00+00:00,85.99,88.3,83.63,87.56,2936844.44,2022-03-24 23:59:59.999000+00:00,253138344.2266,320951,1428458.32,123090564.0861
2022-03-25 00:00:00+00:00,87.57,87.8,82.25,83.54,2533187.45,2022-03-25 23:59:59.999000+00:00,216075919.2775,284452,1176032.43,100333197.993
2022-03-26 00:00:00+00:00,83.54,86.74,82.46,85.86,1350476.61,2022-03-26 23:59:59.999000+00:00,114857398.1833,148804,679348.63,57789544.8386
2022-03-27 00:00:00+00:00,85.87,89.99,84.4,89.88,1651306.21,2022-03-27 23:59:59.999000+00:00,143186147.4698,202321,841756.9,73078680.3934
2022-03-28 00:00:00+00:00,89.88,96.23,88.58,89.58,3900950.93,2022-03-28 23:59:59.999000+00:00,360373912.5381,529962,1978659.85,182983992.3636
2022-03-29 00:00:00+00:00,89.57,96.46,89.27,92.74,2945036.4,2022-03-29 23:59:59.999000+00:00,275198995.9314,408554,1442706.82,134865115.305
2022-03-30 00:00:00+00:00,92.73,100.48,89.5,95.58,3528529.66,2022-03-30 23:59:59.999000+00:00,336542961.0929,521269,1791992.62,171112425.2217
2022-03-31 00:00:00+00:00,95.57,101.98,93.68,97.41,4416636.71,2022-03-31 23:59:59.999000+00:00,432476993.4168,697779,2160476.5,211602474.3797
2022-04-01 00:00:00+00:00,97.43,99.8,90.26,96.83,3360841.07,2022-04-01 23:59:59.999000+00:00,319999605.5586,486329,1656620.0,157793634.3431
2022-04-02 00:00:00+00:00,96.81,103.62,95.73,96.25,3326092.55,2022-04-02 23:59:59.999000+00:00,331193208.9511,509367,1645972.53,164025633.6141
2022-04-03 00:00:00+00:00,96.25,100.09,94.41,98.05,2729825.05,2022-04-03 23:59:59.999000+00:00,266967348.6056,331240,1316753.72,128857837.9644
2022-04-04 00:00:00+00:00,98.02,98.08,90.81,96.16,2600693.06,2022-04-04 23:59:59.999000+00:00,246731044.3401,299116,1246894.41,118333160.0134
2022-04-05 00:00:00+00:00,96.16,97.7,90.6,91.06,2436266.33,2022-04-05 23:59:59.999000+00:00,231181134.8174,345111,1133083.17,107587692.0266
2022-04-06 00:00:00+00:00,91.07,91.11,82.63,82.94,3526547.24,2022-04-06 23:59:59.999000+00:00,306773293.5584,458964,1632246.93,141983286.3279
2022-04-07 00:00:00+00:00,82.94,88.66,81.34,87.55,3392547.98,2022-04-07 23:59:59.999000+00:00,287533326.7425,463282,1645649.31,139534876.5012
2022-04-08 00:00:00+00:00,87.56,90.56,82.69,83.66,3189742.2,2022-04-08 23:59:59.999000+00:00,279883276.9184,452858,1563517.49,137242865.9731
2022-04-09 00:00:00+00:00,83.66,85.56,81.88,84.55,1368929.8,2022-04-09 23:59:59.999000+00:00,114362501.9627,208349,650494.4,54397033.3901
2022-04-10 00:00:00+00:00,84.57,85.66,80.67,81.01,1119413.47,2022-04-10 23:59:59.999000+00:00,93634764.7743,183036,558711.8,46748019.8906
2022-04-11 00:00:00+00:00,81.0,81.54,72.73,74.35,3030700.6,2022-04-11 23:59:59.999000+00:00,232945107.7488,381289,1442278.13,110760776.3678
2022-04-12 00:00:00+00:00,74.35,79.5,73.88,76.31,2146833.6,2022-04-12 23:59:59.999000+00:00,164615852.7866,347797,1031564.7,79100729.5356
2022-04-13 00:00:00+00:00,76.32,80.65,75.8,80.2,1680567.89,2022-04-13 23:59:59.999000+00:00,131776613.7994,271729,841233.07,65953479.808
2022-04-14 00:00:00+00:00,80.2,81.87,76.16,76.81,1741713.69,2022-04-14 23:59:59.999000+00:00,137665312.2971,246886,798430.22,63142606.9456
2022-04-15 00:00:00+00:00,76.8,78.53,74.75,77.43,1318038.23,2022-04-15 23:59:59.999000+00:00,101105439.9883,168686,579056.01,44444328.2949
2022-04-16 00:00:00+00:00,77.44,78.26,76.5,77.74,616267.4,2022-04-16 23:59:59.999000+00:00,47650208.097,79050,293310.69,22684624.7769
2022-04-17 00:00:00+00:00,77.74,78.68,75.08,75.42,776597.8,2022-04-17 23:59:59.999000+00:00,60068940.3263,106308,365348.23,28269883.0376
2022-04-18 00:00:00+00:00,75.41,77.95,71.5,77.73,1812465.17,2022-04-18 23:59:59.999000+00:00,135244038.9604,227384,882275.97,65886394.5509
2022-04-19 00:00:00+00:00,77.73,81.1,76.8,80.28,1467897.35,2022-04-19 23:59:59.999000+00:00,115958594.8008,184872,733643.18,57978762.8644
2022-04-20 00:00:00+00:00,80.27,81.31,77.46,78.21,1497709.36,2022-04-20 23:59:59.999000+00:00,118692630.0825,190828,685185.66,54329934.9957
2022-04-21 00:00:00+00:00,78.22,80.21,74.13,75.02,1363115.38,2022-04-21 23:59:59.999000+00:00,105975760.6861,179006,648379.69,50434479.3204
2022-04-22 00:00:00+00:00,75.01,77.22,73.33,74.03,1261738.35,2022-04-22 23:59:59.999000+00:00,94738870.0242,162494,570624.59,42848468.8316
2022-04-23 00:00:00+00:00,74.04,74.42,72.35,72.83,865209.06,2022-04-23 23:59:59.999000+00:00,63820809.3641,107149,374668.61,27631323.8558
2022-04-24 00:00:00+00:00,72.84,73.49,71.0,71.51,671237.21,2022-04-24 23:59:59.999000+00:00,48552622.7974,108363,321318.54,23255990.2692
