episode_idx,t_open,t_close,hold_hours,pnl_usd,win,side,complete
1,2026-04-02 08:00:46+00:00,2026-04-02 09:02:11+00:00,1.023611111111111,3.540043,True,SHORT,True
2,2026-04-02 16:00:18+00:00,2026-04-03 02:29:49+00:00,10.491944444444444,2.657226,True,SHORT,True
3,2026-04-03 08:00:56+00:00,2026-04-03 13:48:05+00:00,5.785833333333334,3.697217,True,SHORT,True
4,2026-04-03 16:00:50+00:00,2026-04-04 04:12:49+00:00,12.199722222222222,0.092802,True,SHORT,True
5,2026-04-04 16:00:45+00:00,2026-04-04 16:25:05+00:00,0.40555555555555556,0.088935,True,LONG,True
6,2026-04-05 00:01:01+00:00,2026-04-05 06:05:42+00:00,6.078055555555555,-2.99184,False,LONG,True
7,2026-04-06 04:22:48+00:00,2026-04-06 09:11:14+00:00,4.807222222222222,3.553662,True,LONG,True
8,2026-04-06 16:00:35+00:00,2026-04-06 22:53:09+00:00,6.876111111111111,-7.075752,False,LONG,True
9,2026-04-07 00:00:57+00:00,2026-04-07 08:46:44+00:00,8.763055555555555,0.121511,True,LONG,True
10,2026-04-08 16:01:06+00:00,2026-04-08 17:36:38+00:00,1.5922222222222222,3.35896,True,LONG,True
11,2026-04-09 00:01:00+00:00,2026-04-09 07:00:58+00:00,6.999444444444444,0.378471,True,LONG,True
12,2026-04-09 08:00:55+00:00,2026-04-09 09:17:35+00:00,1.2777777777777777,3.429972,True,LONG,True
13,2026-04-10 00:01:08+00:00,2026-04-10 01:36:57+00:00,1.5969444444444445,3.50244,True,LONG,True
14,2026-04-10 12:00:35+00:00,2026-04-10 13:50:30+00:00,1.8319444444444444,0.495687,True,LONG,True
15,2026-04-11 04:01:07+00:00,2026-04-11 17:06:15+00:00,13.085555555555555,1.031326,True,LONG,True
16,2026-04-11 20:00:19+00:00,2026-04-11 23:04:55+00:00,3.0766666666666667,-3.962112,False,LONG,True
17,2026-04-12 00:03:12+00:00,2026-04-12 01:43:23+00:00,1.6697222222222223,-2.517195,False,LONG,True
18,2026-04-13 16:02:29+00:00,2026-04-13 17:30:18+00:00,1.4636111111111112,1.489488,True,LONG,True
19,2026-04-13 20:02:55+00:00,2026-04-13 22:16:49+00:00,2.2316666666666665,1.819068,True,LONG,True
20,2026-04-14 08:02:53+00:00,2026-04-14 13:43:00+00:00,5.668611111111111,1.496445,True,LONG,True
21,2026-04-19 13:10:28+00:00,2026-04-19 13:45:59+00:00,0.5919444444444445,1.243341,True,LONG,True
22,2026-04-19 20:00:42+00:00,2026-04-19 22:01:10+00:00,2.0077777777777777,-7.008451,False,LONG,True
23,2026-04-21 00:00:27+00:00,2026-04-21 08:21:17+00:00,8.347222222222221,3.520976,True,LONG,True
24,2026-04-21 12:00:55+00:00,2026-04-21 17:13:12+00:00,5.204722222222222,-6.60312,False,LONG,True
25,2026-04-22 00:00:33+00:00,2026-04-22 02:16:47+00:00,2.2705555555555557,3.768743,True,LONG,True
26,2026-04-22 08:00:51+00:00,2026-04-22 13:31:41+00:00,5.513888888888889,3.69443,True,LONG,True
27,2026-04-22 16:00:26+00:00,2026-04-22 23:25:07+00:00,7.411388888888889,-6.594022,False,LONG,True
28,2026-04-24 00:00:56+00:00,2026-04-24 00:00:56+00:00,0.0,0.0,False,LONG,False
