date,pnl,n_trades
2026-01-01,-200.16,1
2026-01-02,246.7991705599996,1
2026-01-03,253.01456087138234,1
2026-01-04,259.38647957236714,1
2026-01-05,538.5346381365205,2
2026-01-06,-439.81198113224457,2
2026-01-08,-213.32578156604865,1
2026-01-13,809.1375818219668,3
2026-01-14,52.48573883628583,2
2026-01-16,-226.30210510851816,1
2026-01-18,-439.105887142804,2
2026-01-19,-212.98329873561573,1
2026-01-20,97.49439162390564,4
2026-01-21,265.06571777885307,1
2026-01-25,323.3332450425846,3
2026-01-26,-440.4455923081266,2
2026-01-27,-213.63310743506216,1
2026-01-28,-414.5235640577166,2
2026-01-29,778.1898386600963,3
2026-01-30,272.5702107438016,1
2026-01-31,565.9065193055116,2
2026-02-16,293.68640871336504,1
2026-02-17,301.0826072304011,1
2026-02-22,308.66507161089265,1
2026-02-23,702.4374276138631,4
2026-02-24,61.878511568147474,2
2026-02-25,-528.2613272114675,2
2026-02-27,322.3832921222079,1
2026-02-28,122.69928341893609,4
