side,entry,sl,tp,initial_sl,entry_time,entry_idx,entry_atr,risk_usd,tp_extension_factor,trail_count,master_score,gate,regime,fgi,exit_time,exit_price,pnl_usd,equity,exit_type,holding_duration
SHORT,64839.8,67709.18058845564,59674.91494077986,67709.18058845564,2024-04-19T08:00:00+00:00,3108,1912.9203923037567,200.0,1.5,0,-5,LEVEL6,bear,66.0,2024-04-23T08:00:00+00:00,66023.5,-82.67,9917.33,TIME_EXIT,24
SHORT,62031.9,64011.64079720549,58468.36656503013,64011.64079720549,2024-05-03T16:00:00+00:00,3194,1319.8271981369896,198.34668777053506,1.5,0,-5,LEVEL6,bear,48.0,2024-05-04T08:00:00+00:00,64011.64,-198.51,9718.83,SL,3
SHORT,63864.2,63864.2,61742.61776536115,65632.18519553237,2024-05-04T20:00:00+00:00,3201,1178.6567970215788,194.37658046812004,1.0,1,-5,LEVEL6,neutral,67.0,2024-05-08T12:00:00+00:00,61742.62,233.1,9951.93,TP,21
SHORT,66150.0,65768.572883611,64090.29357149942,67294.281349167,2024-06-20T08:00:00+00:00,3480,762.8542327779949,199.03850837406748,1.5,2,-5,LEVEL6,bear,60.0,2024-06-21T08:00:00+00:00,64090.29,358.11,10310.04,TP,5
SHORT,62016.8,62912.6239060693,60404.31696907528,62912.6239060693,2024-06-30T16:00:00+00:00,3542,597.2159373795291,206.20071005939985,1.5,0,-5,LEVEL6,bear,47.0,2024-07-01T00:00:00+00:00,62912.62,-206.37,10103.67,SL,1
SHORT,63207.6,63207.6,61377.185380268485,64224.49701096195,2024-07-01T16:00:00+00:00,3548,677.9313406413021,202.07339664685094,1.5,1,-5,LEVEL6,bear,53.0,2024-07-03T00:00:00+00:00,61377.19,363.57,10467.24,TP,7
SHORT,57045.9,57045.9,55016.42896671206,58737.125861073284,2024-07-04T20:00:00+00:00,3567,1127.4839073821895,209.34480575179117,1.0,1,-6,LEVEL6,neutral,44.0,2024-07-05T04:00:00+00:00,55016.43,251.05,10718.29,TP,1
SHORT,56713.2,58453.99762282468,53579.764278915565,58453.99762282468,2024-07-06T08:00:00+00:00,3576,1160.5317485497885,214.36573157294214,1.5,0,-5,LEVEL6,bear,26.0,2024-07-06T20:00:00+00:00,58454.0,-214.54,10503.75,SL,2
SHORT,57834.8,57834.8,54782.637822126184,59530.44565437434,2024-07-06T16:00:00+00:00,3578,1130.430436249563,210.07498708977812,1.5,1,-5,LEVEL6,bear,26.0,2024-07-08T00:00:00+00:00,54782.64,377.97,10881.72,TP,7
SHORT,55828.4,57449.63080005943,52910.18455989303,57449.63080005943,2024-07-08T04:00:00+00:00,3587,1080.8205333729534,217.6343254252167,1.5,0,-5,LEVEL6,bear,28.0,2024-07-08T12:00:00+00:00,57449.63,-217.81,10663.91,SL,1
SHORT,57137.3,57137.3,53948.31709132924,58908.95717148376,2024-07-08T08:00:00+00:00,3588,1181.104780989171,213.27815676750558,1.5,1,-5,LEVEL6,bear,28.0,2024-07-09T00:00:00+00:00,57137.3,-0.17,10663.74,TRAIL_SL,3
SHORT,56686.4,58555.84579291174,53321.39757275887,58555.84579291174,2024-07-08T20:00:00+00:00,3591,1246.297195274493,213.27474431699727,1.5,0,-6,LEVEL6,bear,28.0,2024-07-10T04:00:00+00:00,58555.85,-213.45,10450.29,SL,7
SHORT,57707.0,59271.76676702523,54890.41981935459,59271.76676702523,2024-07-10T20:00:00+00:00,3603,1043.1778446834858,209.00583703474825,1.5,0,-5,LEVEL6,bear,28.0,2024-07-11T12:00:00+00:00,59271.77,-209.17,10241.12,SL,3
SHORT,57382.8,59095.90959581965,54299.20272752464,59095.90959581965,2024-07-11T12:00:00+00:00,3607,1142.0730638797647,204.82237620066073,1.5,0,-5,LEVEL6,bear,29.0,2024-07-13T20:00:00+00:00,59095.91,-204.99,10036.13,SL,13
SHORT,56898.7,56898.7,51836.46120225917,59711.05488763379,2024-08-07T04:00:00+00:00,3767,1874.9032584225301,200.7226515186283,1.5,1,-6,LEVEL6,bear,29.0,2024-08-08T00:00:00+00:00,56898.7,-0.16,10035.97,TRAIL_SL,4
SHORT,55102.9,57709.56346693328,50410.9057595201,57709.56346693328,2024-08-07T20:00:00+00:00,3771,1737.775644622186,200.719439956204,1.5,0,-5,LEVEL6,bear,29.0,2024-08-08T12:00:00+00:00,57709.56,-200.88,9835.09,SL,3
SHORT,57292.3,59809.52198864884,52761.30042043209,59809.52198864884,2024-08-08T08:00:00+00:00,3774,1678.1479924325595,196.7018396460406,1.5,0,-6,LEVEL6,bear,20.0,2024-08-08T16:00:00+00:00,59809.52,-196.86,9638.23,SL,1
SHORT,60808.6,60808.6,56611.45344961959,63140.34808354467,2024-08-09T20:00:00+00:00,3783,1554.4987223631124,192.76465562368548,1.5,1,-5,LEVEL6,bear,48.0,2024-08-13T16:00:00+00:00,60808.6,-0.15,9638.08,TRAIL_SL,22
SHORT,59438.4,61302.37588774954,56083.24340205082,61302.37588774954,2024-08-13T12:00:00+00:00,3805,1242.6505918330295,192.7615713891955,1.5,0,-5,LEVEL6,bear,31.0,2024-08-14T08:00:00+00:00,61302.38,-192.92,9445.16,SL,4
SHORT,58031.9,59840.309488525454,54776.76292065418,59840.309488525454,2024-08-15T04:00:00+00:00,3815,1205.6063256836374,188.90325577626936,1.5,0,-5,LEVEL6,bear,29.0,2024-08-18T00:00:00+00:00,59840.31,-189.05,9256.11,SL,16
SHORT,59545.4,59545.4,56986.48070543275,60967.02183031514,2024-08-18T04:00:00+00:00,3833,947.7478868767598,185.12216820865157,1.5,1,-5,LEVEL6,bear,31.0,2024-08-19T20:00:00+00:00,59545.4,-0.15,9255.96,TRAIL_SL,9
SHORT,58933.0,60252.03927400555,56558.72930679002,60252.03927400555,2024-08-19T16:00:00+00:00,3842,879.3595160036966,185.11920625396021,1.5,0,-5,LEVEL6,bear,28.0,2024-08-20T00:00:00+00:00,60252.04,-185.27,9070.69,SL,1
SHORT,59398.5,60698.97575443372,57057.643642019306,60698.97575443372,2024-08-19T20:00:00+00:00,3843,866.9838362891468,181.41386022158096,1.5,0,-5,LEVEL6,bear,28.0,2024-08-20T04:00:00+00:00,60698.98,-181.56,8889.13,SL,1
SHORT,59237.0,59237.0,56127.75747514696,60964.35695825169,2024-08-29T16:00:00+00:00,3902,1151.5713055011258,177.7826803953858,1.5,1,-5,LEVEL6,bear,29.0,2024-08-30T16:00:00+00:00,59237.0,-0.14,8888.99,TRAIL_SL,5
SHORT,58073.1,59733.58290844243,55084.230764803615,59733.58290844243,2024-08-30T12:00:00+00:00,3907,1106.9886056282905,177.77983587249946,1.5,0,-6,LEVEL6,bear,34.0,2024-09-03T00:00:00+00:00,59733.58,-177.92,8711.07,SL,20
SHORT,59112.1,59112.1,56793.05826864084,60400.45651742176,2024-09-02T20:00:00+00:00,3927,858.9043449478365,174.22139467767553,1.5,1,-5,LEVEL6,bear,26.0,2024-09-04T00:00:00+00:00,56793.06,313.46,9024.53,TP,6
SHORT,56536.2,57911.01538019285,54061.53231565286,57911.01538019285,2024-09-04T08:00:00+00:00,3936,916.5435867952352,180.490577343757,1.5,0,-6,LEVEL6,bear,27.0,2024-09-04T16:00:00+00:00,57911.02,-180.63,8843.89,SL,1
SHORT,58096.2,57599.81547755935,55415.723578820514,59585.35356732193,2024-09-04T12:00:00+00:00,3937,992.7690448812897,176.87787794764435,1.5,2,-5,LEVEL6,bear,27.0,2024-09-06T04:00:00+00:00,55415.72,318.24,9162.13,TP,9
SHORT,55766.3,55270.01399849997,53086.35559189982,57255.1580045001,2024-09-06T04:00:00+00:00,3947,992.5720030000685,183.24265150771237,1.5,2,-5,LEVEL6,bear,22.0,2024-09-06T20:00:00+00:00,53086.36,329.69,9491.82,TP,3
SHORT,53927.7,55656.87419737941,50815.18644471706,55656.87419737941,2024-09-06T20:00:00+00:00,3951,1152.7827982529402,189.8364550795659,1.5,0,-5,LEVEL6,bear,22.0,2024-09-09T12:00:00+00:00,55656.87,-189.99,9301.83,SL,15
SHORT,55236.8,56467.24932317005,53021.99121829392,56467.24932317005,2024-09-09T08:00:00+00:00,3966,820.2995487800301,186.0366885946933,1.5,0,-5,LEVEL6,bear,26.0,2024-09-09T16:00:00+00:00,56467.25,-186.19,9115.65,SL,1
SHORT,55360.3,56612.13508580076,53106.99684555864,56612.13508580076,2024-09-09T12:00:00+00:00,3967,834.5567238671711,182.3129782357819,1.5,0,-5,LEVEL6,bear,26.0,2024-09-09T20:00:00+00:00,56612.14,-182.46,8933.19,SL,1
SHORT,56561.0,57893.13083040693,54163.16450526753,57893.13083040693,2024-09-10T12:00:00+00:00,3973,888.0872202712856,178.66380166341452,1.5,0,-6,LEVEL6,bear,33.0,2024-09-10T20:00:00+00:00,57893.13,-178.81,8754.38,SL,1
SHORT,57923.6,57923.6,55406.17132631985,59322.17148537786,2024-09-10T16:00:00+00:00,3974,932.3809902519077,175.08766700931963,1.5,1,-5,LEVEL6,bear,33.0,2024-09-11T16:00:00+00:00,57923.6,-0.14,8754.24,TRAIL_SL,5
SHORT,56676.1,58073.24137481853,54161.24552532664,58073.24137481853,2024-09-11T12:00:00+00:00,3979,931.4275832123552,175.08486560664747,1.5,0,-5,LEVEL6,bear,37.0,2024-09-12T00:00:00+00:00,58073.24,-175.22,8579.02,SL,2
SHORT,83832.0,86680.08454746507,78705.44781456287,86680.08454746507,2025-02-26T16:00:00+00:00,4988,1898.7230316433834,171.58036693666483,1.5,0,-6,LEVEL6,bear,21.0,2025-02-27T04:00:00+00:00,86680.08,-171.72,8407.3,SL,2
SHORT,84084.0,84084.0,78865.41251286432,86983.21527063093,2025-02-27T16:00:00+00:00,4994,1932.810180420623,168.14601431206054,1.5,1,-5,LEVEL6,bear,10.0,2025-02-28T04:00:00+00:00,78865.41,302.53,8709.83,TP,2
SHORT,84393.3,87908.0660094485,80175.5807886618,87908.0660094485,2025-02-28T16:00:00+00:00,5000,2343.1773396323347,174.19658049106573,1.0,0,-5,LEVEL6,neutral,16.0,2025-03-02T12:00:00+00:00,87908.07,-174.34,8535.49,SL,10
SHORT,92660.0,92660.0,88781.84585264119,95891.79512279901,2025-03-03T00:00:00+00:00,5014,2154.5300818660103,170.70986173595654,1.0,1,-5,LEVEL6,neutral,33.0,2025-03-03T16:00:00+00:00,88781.85,204.72,8740.21,TP,3
SHORT,83890.1,87572.37641498358,77262.00245302958,87572.37641498358,2025-03-04T08:00:00+00:00,5022,2454.850943322383,174.80416705983174,1.5,0,-5,LEVEL6,bear,15.0,2025-03-04T16:00:00+00:00,87572.38,-174.94,8565.26,SL,1
SHORT,82945.0,86764.42452819903,76070.03584924174,86764.42452819903,2025-03-04T12:00:00+00:00,5023,2546.2830187993554,171.30528685196217,1.5,0,-5,LEVEL6,bear,15.0,2025-03-04T20:00:00+00:00,86764.42,-171.44,8393.82,SL,1
SHORT,80009.7,83260.3642826058,76108.90286087303,83260.3642826058,2025-03-10T12:00:00+00:00,5059,2167.109521737202,167.8764402303333,1.0,0,-6,LEVEL6,neutral,20.0,2025-03-11T16:00:00+00:00,83260.36,-168.01,8225.81,SL,6
SHORT,83060.1,83060.1,78970.59247272115,86468.02293939906,2025-03-11T16:00:00+00:00,5066,2271.9486262660307,164.51622540268295,1.0,1,-5,LEVEL6,neutral,24.0,2025-03-14T08:00:00+00:00,83060.1,-0.13,8225.68,TRAIL_SL,15
SHORT,82124.5,84716.37168781526,79014.25397462168,84716.37168781526,2025-03-14T04:00:00+00:00,5081,1727.9144585435085,164.51359314307652,1.0,0,-6,LEVEL6,neutral,27.0,2025-03-14T12:00:00+00:00,84716.37,-164.65,8061.03,SL,1
SHORT,83202.8,85739.05228154275,80159.29726214871,85739.05228154275,2025-03-14T08:00:00+00:00,5082,1690.8348543618297,161.2206890627247,1.0,0,-5,LEVEL6,neutral,27.0,2025-03-18T08:00:00+00:00,82550.0,41.37,8102.4,TIME_EXIT,24
SHORT,82273.4,84144.62271243599,80027.9327450768,84144.62271243599,2025-03-18T16:00:00+00:00,5108,1247.4818082906595,162.04803379898217,1.0,0,-5,LEVEL6,neutral,34.0,2025-03-19T12:00:00+00:00,84144.62,-162.18,7940.22,SL,4
SHORT,83848.4,85544.83352483038,81812.67977020353,85544.83352483038,2025-03-19T08:00:00+00:00,5112,1130.955683220259,158.80448035446176,1.0,0,-5,LEVEL6,neutral,32.0,2025-03-19T16:00:00+00:00,85544.83,-158.93,7781.29,SL,1
SHORT,82604.7,82604.7,80821.4809765271,84090.71585289408,2025-03-29T20:00:00+00:00,5175,990.6772352627189,155.62584987568687,1.0,1,-5,LEVEL6,neutral,26.0,2025-03-31T12:00:00+00:00,82604.7,-0.12,7781.17,TRAIL_SL,9
SHORT,82171.5,83596.67864568894,80461.28562517329,83596.67864568894,2025-03-31T08:00:00+00:00,5184,950.1190971259547,155.62335986208885,1.0,0,-5,LEVEL6,neutral,34.0,2025-03-31T16:00:00+00:00,83596.68,-155.75,7625.42,SL,1
SHORT,83373.4,84942.70517099687,81490.23379480376,84942.70517099687,2025-03-31T12:00:00+00:00,5185,1046.203447331244,152.50840269108926,1.0,0,-5,LEVEL6,neutral,34.0,2025-04-01T12:00:00+00:00,84942.71,-152.63,7472.79,SL,5
SHORT,83879.9,85388.62362846384,82069.43164584338,85388.62362846384,2025-04-01T08:00:00+00:00,5190,1005.8157523092302,149.45579450282443,1.0,0,-6,LEVEL6,neutral,34.0,2025-04-01T16:00:00+00:00,85388.62,-149.58,7323.21,SL,1
SHORT,84509.5,86125.27465515817,82570.5704138102,86125.27465515817,2025-04-02T00:00:00+00:00,5194,1077.1831034387735,146.46428732005592,1.0,0,-6,LEVEL6,neutral,44.0,2025-04-02T12:00:00+00:00,86125.27,-146.58,7176.63,SL,2
SHORT,84528.4,86135.16743225371,82600.27908129554,86135.16743225371,2025-04-02T08:00:00+00:00,5196,1071.1782881691468,143.53265814505767,1.0,0,-6,LEVEL6,neutral,44.0,2025-04-02T16:00:00+00:00,86135.17,-143.65,7032.99,SL,1
SHORT,83449.0,85796.61881722715,80631.85741932741,85796.61881722715,2025-04-03T00:00:00+00:00,5200,1565.0792114847713,140.65970845962622,1.0,0,-6,LEVEL6,neutral,25.0,2025-04-06T16:00:00+00:00,80631.86,168.68,7201.66,TP,21
SHORT,82497.4,81947.3350511562,80517.16618416234,84147.59484653137,2025-04-06T12:00:00+00:00,5221,1100.1298976875814,144.03329090732188,1.0,1,-5,LEVEL6,neutral,34.0,2025-04-06T20:00:00+00:00,80517.17,172.72,7374.39,TP,1
SHORT,79140.0,78164.33813727155,73871.42594126635,82066.98558818536,2025-04-07T20:00:00+00:00,5229,1951.3237254569037,147.48778535644308,1.5,2,-5,LEVEL6,bear,23.0,2025-04-09T12:00:00+00:00,78164.34,49.04,7423.43,TRAIL_SL,9
SHORT,76204.1,79151.61568687882,70898.57176361812,79151.61568687882,2025-04-09T08:00:00+00:00,5238,1965.010457919216,148.46867745425368,1.5,0,-5,LEVEL6,bear,18.0,2025-04-09T16:00:00+00:00,79151.62,-148.59,7274.85,SL,1
SHORT,82291.4,82291.4,76173.9057553646,85690.00791368632,2025-04-09T16:00:00+00:00,5240,2265.738609124222,145.49692840632932,1.5,1,-6,LEVEL6,bear,18.0,2025-04-11T08:00:00+00:00,82291.4,-0.12,7274.73,TRAIL_SL,9
SHORT,85174.5,85174.5,83730.88168550661,86377.51526207782,2025-04-19T04:00:00+00:00,5297,802.0101747185511,145.49460045547482,1.0,1,-5,LEVEL6,neutral,32.0,2025-04-20T20:00:00+00:00,85174.5,-0.12,7274.61,TRAIL_SL,9
SHORT,85138.8,86139.05169929896,83938.49796084125,86139.05169929896,2025-04-20T20:00:00+00:00,5307,666.8344661993052,145.49227254186752,1.0,0,-5,LEVEL6,neutral,37.0,2025-04-21T04:00:00+00:00,86139.05,-145.61,7129.0,SL,1
SHORT,113662.4,114914.60856636078,111408.42458055056,114914.60856636078,2025-09-30T04:00:00+00:00,6281,834.8057109071948,142.5800992146695,1.5,0,-5,LEVEL6,bear,50.0,2025-10-01T08:00:00+00:00,114914.61,-142.69,6986.31,SL,6
SHORT,106750.1,109826.08388936686,101213.32899913967,109826.08388936686,2025-10-17T12:00:00+00:00,6385,2050.6559262445667,139.72621594878868,1.5,0,-5,LEVEL6,bear,22.0,2025-10-20T00:00:00+00:00,109826.08,-139.84,6846.47,SL,14
SHORT,107829.0,110497.9667251976,104626.23992976287,110497.9667251976,2025-10-22T16:00:00+00:00,6416,1779.3111501317335,136.9294560103577,1.0,0,-5,LEVEL6,neutral,25.0,2025-10-23T16:00:00+00:00,110497.97,-137.04,6709.43,SL,5
SHORT,107034.7,107034.7,103159.54931715362,109187.56149047021,2025-11-03T16:00:00+00:00,6488,1435.2409936468073,134.1886760188544,1.5,1,-5,LEVEL6,bear,42.0,2025-11-04T12:00:00+00:00,103159.55,241.43,6950.87,TP,4
SHORT,101946.1,104674.23080349059,97035.46455371694,104674.23080349059,2025-11-05T04:00:00+00:00,6497,1818.7538689937246,139.01732133671686,1.5,0,-5,LEVEL6,bear,23.0,2025-11-09T04:00:00+00:00,101898.2,2.33,6953.2,TIME_EXIT,24
